"ROK";"OBJECTID";"KOD_LOKALITA";"KOD_LOK";"NAZ_LOKAL";"PUVODNI_NAZEV";"PUVODNI_KOD";"MON_DRUH";"DATUM_MONIT";"MONITOROVATEL";"NOC_MONIT";"ABI_TEPLOTA";"ABI_VITR";"ABI_POCASI";"ABI_POZNAMKA";"STA_STAVVODAPERIODTUN";"STA_STAVVODALITORAL";"STA_PRUHLEDNOSTVODA";"STA_PRUHLEDNOSTVODAPOZN";"STA_ZABARVENIZAKAL";"STA_DUVODZABARVENIZAKAL";"STA_VEKSLOZENIRYBOBSADKA";"STA_POKRVEGETACE";"STA_POZNAMKA";"DALŠÍ_DRUHY2";"STA_DRUHRVEGRASA";"STA_DRUHRVEG1";"STA_DRUHRVEG2";"STA_DRUHVEGJINY";"VLV_VLIVY";"VLV_CINNOSTDOPAD";"VLV_POZNAMKA";"POP_VYSKYTDRUH";"POP_CELKPOCETVSEEXEMPLAR";"POP_CELKPOCETVSEEXEMPLARREL";"POP_CELKPOCETVSEADULT";"POP_CELKPOCETVSEADULTREL";"POP_POCETSAMEC";"POP_POCETSAMECREL";"POP_POCETSAMICE";"POP_POCETSAMICEREL";"POP_POCETPOHLNEURCENYADULT";"POP_POCETPOHLNEURCENYADULTREL";"POP_POCETMRTVYJEDINEC";"POP_POCETMRTVYJEDINECREL";"POP_CELKPOCETVSESUBADULT";"POP_CELKPOCETVSESUBADULTREL";"POP_POCETJUVENIL";"POP_POCETJUVENILREL";"POP_POCETLARVA";"POP_POCETLARVAREL";"POP_POCETMETAMORF";"POP_POCETMETAMORFREL";"POP_CELKPOCETVSESNUSKA";"POP_CELKPOCETVSESNUSKAREL";"POP_PLOCHASNUSKA";"POP_POZNAMKA";"CREATIONDATE";"CREATOR";"EDITDATE";"EDITOR";"STA_SLEDOVANIEVL";"STA_ZOOPLANKTON";"STA_KACHNALOV";"STA_ZASTINENI";"POP_VYSKYTDRUH.1";"POP_PLOCHASNUSKA_M2";"SITECODE";"EVL_SITECODE";"STA_STAVVODA";"STA_ZABARVENIZAKAL_POZN";"STA_KACHNAPRITOMNOST";"STA_KACHNA";"STA_MANIPULACE";"STA_ZASTINENIHLADINA";"STA_KONTAMINACE";"STA_PLISEN";"POP_DRUHANONE";"CREATION_DATE";"EDIT_DATE"
2018;"";"";"amp138c";"5861, Hradec Králové, Plachta - Novı mokøad";"";"";"Triturus cristatus";"05.06.2018 22:00";"Blanka Mikátová";"ne";22;"slabı";"polojasno";"";NA;20;NA;"";"";"";"";NA;"";NA;"";"";"";"";"ano";"vysychání (mokøadního ekosystému), vıvoj biocenózy, sukcese všeobecnì, zarùstání bøehù náletovımi døevinami, zazemòování";"";"";"3";"";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";3;"";"";"";NA;"Mimoøádnì brzká metamorfóza, larvy nebyly zjištìny";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp138c";"5861, Hradec Králové, Plachta - Novı mokøad";"";"";"Triturus cristatus";"12.04.2018 22:00";"Blanka Mikátová";"ano";21;"slabı";"zataeno";"";NA;NA;NA;"";"";"";"";NA;"vysychající mokøad";NA;"";"";"";"";"ano";"vıvoj biocenózy, sukcese všeobecnì, vysychání (mokøadního ekosystému), zarùstání bøehù náletovımi døevinami, zazemòování";"";"";"2";"";2;"";"2";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp138c";"5861, Hradec Králové, Plachta - Novı mokøad";"";"";"Triturus cristatus";"21.04.2018 22:00";"Blanka Mikátová";"ano";20;"slabı";"zataeno";"";NA;NA;NA;"";"";"";"";NA;"";NA;"";"";"";"";"ano";"vıvoj biocenózy, sukcese všeobecnì, vysychání (mokøadního ekosystému), zarùstání bøehù náletovımi døevinami, zazemòování";"";"";"3";"";3;"";"2";"";1;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp138b";"5861, Hradec Králové, Plachta - rybník Jáma";"";"";"Triturus cristatus";"12.04.2018 22:00";"Blanka Mikátová";"ano";21;"slabı";"polojasno";"";NA;NA;NA;"";"";"";"";NA;"zimovanı a letnìnı rybník, z toho dùvodu monitoring neprobìhl";NA;"";"";"";"";"ano";"";"";"";"";"";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138b";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp138a";"5861, Hradec Králové, Plachta - Starı mokøad";"";"";"Triturus cristatus";"21.04.2018 22:00";"Blanka Mikátová";"ano";20;"slabı";"zataeno";"";NA;NA;NA;"";"";"";"";NA;"";NA;"";"";"";"";"ano";"vysychání (mokøadního ekosystému), vıvoj biocenózy, sukcese všeobecnì, zazemòování, zarùstání bøehù náletovımi døevinami, zavleèení choroby";"";"";"";"øádovì vyšší desítky";NA;"øádovì vyšší desítky";"";"øádovì niší desítky";NA;"øádovì niší desítky";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp138a";"5861, Hradec Králové, Plachta - Starı mokøad";"";"";"Triturus cristatus";"05.06.2018 22:00";"Blanka Mikátová";"ne";22;"slabı";"polojasno";"";20;NA;NA;"";"";"";"";NA;"";NA;"";"rdesty širokolisté, skøípinec jezerní, šípatka støelolistá, zblochan vodní, abník jitrocelovı, zerav";"bublinatka jiní, hvìzdoš, rdesno obojivelné";"";"ano";"vıvoj biocenózy, sukcese všeobecnì, vysychání (mokøadního ekosystému), zarùstání bøehù náletovımi døevinami, zazemòování";"";"";"";"øádovì niší desítky";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"øádovì niší desítky";"";"";NA;"mimoøádnì brzká metamorf=oza, zpùsobená patrnì vysycháním mokøadu";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp138a";"5861, Hradec Králové, Plachta - Starı mokøad";"";"";"Triturus cristatus";"12.04.2018 22:00";"Blanka Mikátová";"ano";20;"slabı";"zataeno";"";NA;NA;NA;"";"";"";"";NA;"";NA;"";"";"";"";"ano";"";"";"";"";"";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp138a";"5861, Hradec Králové, Plachta - Starı mokøad";"";"";"Triturus cristatus";"12.04.2018 22:00";"Blanka Mikátová";"ano";20;"slabı";"polojasno";"";NA;NA;NA;"";"";"";"";NA;"";NA;"";"";"";"";"ano";"vysychání (mokøadního ekosystému), vıvoj biocenózy, sukcese všeobecnì, zazemòování";"";"";"32";"";3218;"";"18";"";14;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"";"10.01.2019 16:18";"blanka.mikatova";"10.01.2019 16:18";"blanka.mikatova";"";"";"";NA;"";NA;"";"amp138a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252c";"Adameckı rybník I";"";"";"Bombina bombina";"02.05.2018 22:00";"Lukasz Nytra";"ne";18;"bezvìtøí";"zataeno";NA;95;100;50;"na dno";"hnìdı";"huminové látky";NA;30;NA;NA;NA;"orobinec širokolistı, sítina rozkladitá";NA;NA;"ne";NA;NA;"ano";NA;NA;NA;NA;NA;"øádovì niší desítky";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"03.05.2018 12:16";"lukas.nytra";"03.05.2018 12:16";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252c";"Adameckı rybník I";"";"";"Bombina bombina";"16.05.2018 22:00";"Lukasz Nytra";"ne";20;"slabı";"zataeno";NA;100;100;75;"na dno";"hnìdı";"huminové látky";NA;40;NA;NA;NA;"chrastice rákosovitá, orobinec širokolistı, orobinec úzkolistı, rákos obecnı, sítina rozkladitá";NA;NA;"ne";NA;NA;"ano";NA;NA;NA;NA;NA;"øádovì niší desítky";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"17.05.2018 11:11";"lukas.nytra";"17.05.2018 11:11";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
