"SITECODE","NAZEV","DRUH","FEATURE_CODE","BIOTOP_PLOCHA","BIOTOP_PROCENTO"
"CZ0213063","Rakovník - za koupalištěm","Phengaris nausithous",6179,3.55,35.47
"CZ0213777","Bohostice","Phengaris nausithous",6179,1.44,26.08
"CZ0214004","Černý Orel","Phengaris nausithous",6179,48.84,21.54
"CZ0214040","Louky u Drahlína","Phengaris nausithous",6179,1.07,8.47
"CZ0313096","Čábuze","Phengaris nausithous",6179,5.7,14.8
"CZ0313114","Onšovice - Mlýny","Phengaris nausithous",6179,6.07,25.43
"CZ0313141","Žofina Huť","Phengaris nausithous",6179,3.74,8.3
"CZ0314123","Boletice","Phengaris nausithous",6179,1142.63,5.62
"CZ0314124","Blanský les","Phengaris nausithous",6179,583.68,2.63
"CZ0323150","Kamenec","Phengaris nausithous",6179,5.06,50.69
"CZ0414127","Hradiště","Phengaris nausithous",6179,8404.06,25.34
"CZ0424030","Bezručovo údolí","Phengaris nausithous",6179,16.63,1.39
"CZ0424127","Východní Krušnohoří","Phengaris nausithous",6179,496.63,3.39
"CZ0513506","Horní Ploučnice","Phengaris nausithous",6179,114.35,13.09
"CZ0514113","Podtrosecká údolí","Phengaris nausithous",6179,20.2,3.89
"CZ0514670","Ronov - Vlhošť","Phengaris nausithous",6179,272.61,36.48
"CZ0523014","Vladivostok","Phengaris nausithous",6179,16.45,74.35
"CZ0523273","Javorka a Cidlina - Sběř","Phengaris nausithous",6179,100,32.54
"CZ0523275","Kačerov","Phengaris nausithous",6179,1.45,65.13
"CZ0523291","Uhřínov - Benátky","Phengaris nausithous",6179,3.32,57.51
"CZ0533308","Bohdanečský rybník","Phengaris nausithous",6179,9.93,4.01
"CZ0534051","Anenské údolí","Phengaris nausithous",6179,4.61,11.7
"CZ0534055","Ratajské rybníky","Phengaris nausithous",6179,11.87,58.13
"CZ0537011","Louky u Přelouče","Phengaris nausithous",6179,56.96,42.67
"CZ0613009","Niva Fryšávky","Phengaris nausithous",6179,19.92,56.4
