SKUP;DRUH;FREKVENCE_1;FREKVENCE_2;PARAMETR_SLEDOVANI;KATEGORIE;SKUPINA_PARAMETRU_HODNOCENI;PARAMETR_HODNOCENI;PARAMETR_LIMIT;DATA_INPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;velikost populace;A;Stav populace;velikost populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;plocha vıskytu druhu;B;Stav populace;plocha vıskytu druhu;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;velikost populace;A;Stav populace;zmìna velikosti populace I;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;velikost populace;A;Stav populace;zmìna velikosti populace II;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;vımìra potenciální lokality;B;Stav lokality;vımìra potenciální lokality;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;pokryvnost bylinného patra;A;Stav lokality;pokryvnost bylinného patra;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;pokryvnost expanzních druhù bylin;A;Stav lokality;pokryvnost expanzních druhù bylin;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;zastínìní;B;Stav lokality;zastínìní;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Hamatocaulis vernicosus;3;;vliv managementu èi jeho absence;A;Management;Management;bezzásahovost;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Buxbaumia viridis;6;;poèet jedincù na lokalitì;A;Stav populace;poèetnost populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Buxbaumia viridis;6;;mnoství mrtvého døeva;A;Stav lokality;mnoství mrtvého døeva;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Dicranum viride;6;;poèet mikrolokalit;A;Stav populace;poèet mikrolokalit;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Dicranum viride;6;;velikost populace;A;Stav populace;velikost populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Dicranum viride;6;;velikost populace;A;Stav populace;pokles velikosti populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Dicranum viride;6;;vìková struktura stromového patra;B;Stav lokality;vìková struktura stromového patra;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Dicranum viride;6;;druhové sloení stromového patra;B;Stav lokality;druhové sloení stromového patra;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Dicranum viride;6;;management;A;Management;intenzita tìby døeva v okruhu cca 100m od vıskytu druhu;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;velikost populace;A;Stav populace;velikost populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;plocha vıskytu druhu;B;Stav populace;plocha vıskytu druhu;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;reprodukce;B;Stav populace;zmìna velikosti populace I;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;reprodukce;B;Stav populace;zmìna velikosti populace II;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;reprodukce;B;Stav populace;reprodukce (pøítomnost sporogonù);;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;vımìra potenciální lokality;B;Stav lokality;vımìra potencionální lokality;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;pokryvnost bylinného patra;C;Stav lokality;pokryvnost bylinného patra;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Mannia triandra;;2x za rok;zastínìní;C;Stav lokality;zastínìní;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Orthotrichum rogeri;5;;velikost mikropopulace;A;Stav populace;velikost mikropopulace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Orthotrichum rogeri;5;;poèet sporofytù v mikropopulaci;A;Stav populace;poèet sporofytù v mikropopulaci;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Orthotrichum rogeri;5;;velikost mikropopulace;A;Stav populace;vıvoj velikosti mikropopulace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Orthotrichum rogeri;5;;velikost mikropopulace;A;Stav populace;plodnost mikropopulace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Orthotrichum rogeri;5;;vhodná mikrostanovištì;B;Stav lokality;vhodná mikrostanovištì;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mechy;Orthotrichum rogeri;5;;vhodná mikrostanovištì;B;Stav lokality;vıvoj lokality;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;poèetnost populace;B;Stav populace;poèetnost populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;vıvoj poèetnosti populace;B;Stav populace;vıvoj poèetnosti populace;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;vımìra lokality;B;Stav lokality;vımìra lokality;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cévnaté;Pulsatilla grandis;3;<150 trsù a s MNG 1;pokryvnost trav a trávovitıch bylin vèetnì staøiny;B;Stav lokality;pokryvnost trav a trávovitıch bylin vèetnì staøiny;;NDOP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
