"GROUP","HABITAT_CODE","HABITAT_CZ"
"Sekundární trávníky","1340","Vnitrozemské slané louky"
"Sekundární trávníky","2330","Otevřené trávníky kontinentálních dun s paličkovcem (Corynephorus) a psinečkem (Agrostis)"
"Mokřady","3130","Oligotrofní až mezotrofní stojaté vody nížinného až subalpínského stupně kontinentální a alpínské oblasti a horských poloh a jiných oblastí, s vegetací tříd Littorelletea uniflorae nebo Isoëto-Nanojuncetea"
"Vodní toky","3140","Tvrdé oligo-mezotrofní vody s bentickou vegetací parožnatek"
"Vodní toky","3150","Přirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition"
"Vodní toky","3160","Přirozená dystrofní jezera a tůně"
"Mokřady","3220","Alpínské řeky a bylinná vegetace podél jejich břehů"
"Mokřady","3230","Alpínské řeky a jejich dřevinná vegetace s židoviníkem německým (Myricaria germanica)"
"Křoviny","3240","Alpínské řeky a jejich dřevinná vegetace s vrbou šedou (Salix elaeagnos)"
"Vodní toky","3260","Nížinné až horské vodní toky s vegetací svazů Ranunculion fluitantis a Callitricho-Batrachion"
"Mokřady","3270","Bahnité břehy řek s vegetací svazů Chenopodion rubri p.p. a Bidention p.p."
"Sekundární trávníky","4030","Evropská suchá vřesoviště"
"Alpínské bezlesí","4060","Alpínská a boreální vřesoviště"
"Alpínské bezlesí","4070","Křoviny s borovicí klečí (Pinus mugo) a pěnišníkem Rhodohendron hirsutum (Mugo-Rhododendretum hirsuti)"
"Alpínské bezlesí","4080","Subarktické vrbové křoviny"
"Křoviny","40A0","Kontinentální opadavé křoviny"
"Sekundární trávníky","5130","Formace jalovce obecného (Juniperus communis) na vřesovištích nebo vápnitých trávnících"
"Sekundární trávníky","6110","Vápnité nebo bazické skalní trávníky (Alysso-Sedion albi)"
"Sekundární trávníky","6150","Silikátové alpínské a boreální trávníky"
"Sekundární trávníky","6190","Panonské skalní trávníky (Stipo-Festucetalia pallentis)"
"Sekundární trávníky","6210","Polopřirozené suché trávníky a facie křovin na vápnitých podložích (Festuco-Brometalia)"
"Sekundární trávníky","6210p","Polopřirozené suché trávníky a facie křovin na vápnitých podložích (Festuco-Brometalia), význačná naleziště vstavačovitých "
"Sekundární trávníky","6230","Druhově bohaté smilkové louky na silikátových podložích v horských oblastech (a v kontinentální Evropě v podhorských oblastech)"
"Sekundární trávníky","6240","Subpanonské stepní trávníky"
"Sekundární trávníky","6250","Panonské sprašové stepní trávníky"
"Sekundární trávníky","6260","Panonské písčité stepi"
"Sekundární trávníky","6410","Bezkolencové louky na vápnitých, rašelinných nebo hlinito-jílovitých půdách (Molinion caeruleae)"
"Sekundární trávníky","6430","Vlhkomilná vysokobylinná lemová společenstva nížin a horského až alpínského stupně"
"Sekundární trávníky","6440","Nivní louky říčních údolí svazu Cnidion dubii"
"Sekundární trávníky","6510","Extenzivní sečené louky nížin až podhůří (Arrhenatherion, Brachypodio-Centaureion nemoralis)"
"Sekundární trávníky","6520","Horské sečené louky"
"Rašeliniště","7110","Aktivní vrchoviště"
"Rašeliniště","7120","Degradovaná vrchoviště (ještě schopná přirozené obnovy)"
"Rašeliniště","7140","Přechodová rašeliniště a třasoviště"
"Rašeliniště","7150","Prolákliny na rašelinném podloží (Rhynchosporion)"
"Mokřady","7210","Vápnitá slatiniště s mařicí pilovitou (Cladium mariscus) a druhy svazu Caricion davallianae"
"Rašeliniště","7220","Petrifikující prameny s tvorbou pěnovců (Cratoneurion)"
"Rašeliniště","7230","Zásaditá slatiniště"
"Alpínské bezlesí","8110","Silikátové sutě horského až niválního stupně (Androsacetalia alpinae a Galeopsietalia ladani)"
"Skály a sutě","8150","Středoevropské silikátové sutě"
"Skály a sutě","8160","Vápnité sutě pahorkatin a horského stupně"
"Skály a sutě","8210","Chasmofytická vegetace vápnitých skalnatých svahů"
"Skály a sutě","8220","Chasmofytická vegetace silikátových skalnatých svahů"
"Sekundární trávníky","8230","Pionýrská vegetace silikátových skal (Sedo-Scleranthion, Sedo albi-Veronicion dillenii)"
"Skály a sutě","8310","Jeskyně nepřístupné veřejnosti"
"Lesy","9110","Bučiny asociace Luzulo-Fagetum"
"Lesy","9130","Bučiny asociace Asperulo-Fagetum"
"Lesy","9140","Středoevropské subalpínské bučiny s javorem (Acer) a šťovíkem horským (Rumex arifolius)"
"Lesy","9150","Středoevropské vápencové bučiny (Cephalanthero-Fagion)"
"Lesy","9170","Dubohabřiny asociace Galio-Carpinetum"
"Lesy","9180","Lesy svazu Tilio-Acerion na svazích, sutích a v roklích"
"Lesy","9190","Staré acidofilní doubravy s dubem letním (Quercus robur) na písčitých pláních"
"Lesy","91D0","Rašelinný les"
"Lesy","91E0","Smíšené jasanovo-olšové lužní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae)"
"Lesy","91F0","Smíšené lužní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistým (U. minor), jasanem ztepilým (Fraxinus excelsior) nebo j. úzkolistým (F. angustifolia) podél velkých řek atlantské a středoevropské provincie (Ulmenion minoris)"
"Lesy","91G0","Panonské dubohabřiny"
"Lesy","91H0","Panonské šípákové doubravy"
"Lesy","91I0","Eurosibiřské stepní doubravy"
"Lesy","91T0","Středoevropské lišejníkové bory"
"Lesy","91U0","Lesostepní bory"
"Lesy","9410","Acidofilní smrčiny (Vaccinio-Piceetea)"
