"SITECODE","NAZEV","HAB_AREA","SINGLE_EVL"
"CZ0323150","Kamenec",1.47054402537238,0
"CZ0713388","Protivanov",1.40096577182787,1
"CZ0534055","Ratajské rybníky",1.30856548997746,0
"CZ0723403","Uhliska",1.26474775760322,0
"CZ0613012","Na Ostráné",1.19263553500248,1
"CZ0613009","Niva Fryšávky",1.1217530705175,1
"CZ0523273","Javorka a Cidlina - Sbìø",0.997132034135701,0
"CZ0313004","Terèino údolí",0.987012903529677,1
"CZ0523014","Vladivostok",0.850213878046847,0
"CZ0213777","Bohostice",0.668017017208554,1
"CZ0523275","Kaèerov",0.664357746696464,0
"CZ0613010","Údolí Svratky u Krásného",0.650931578853306,1
"CZ0523291","Uhøínov - Benátky",0.615946277109376,1
"CZ0537011","Louky u Pøelouèe",0.515345217422125,0
"CZ0414127","Hradištì",0.489246648672157,0
"CZ0513506","Horní Plouènice",0.457019419756758,0
"CZ0514670","Ronov - Vlhoš",0.427786157761787,0
"CZ0213063","Rakovník - za koupalištìm",0.38399040894705,1
"CZ0313114","Onšovice - Mlıny",0.348109101348736,1
"CZ0814092","Poodøí",0.29633635095178,0
"CZ0523010","Na Plachtì",0.274772271743454,0
"CZ0313141","ofina Hu",0.25261257664504,1
"CZ0214004","Èernı Orel",0.244400174050944,0
"CZ0214005","Andìlské schody",0.242206138299297,0
"CZ0313096","Èábuze",0.209796894070324,1
"CZ0424127","Vıchodní Krušnohoøí",0.172174674241312,0
"CZ0313123","Stropnice",0.165444483923372,0
"CZ0724090","Bílé Karpaty",0.151082018904813,0
"CZ0534051","Anenské údolí",0.149730586526852,0
"CZ0514113","Podtrosecká údolí",0.124637552813449,0
"CZ0214040","Louky u Drahlína",0.117528443887316,0
"CZ0314123","Boletice",0.0838944495269681,0
"CZ0713395","Vidnava",0.0667617298093301,1
"CZ0714085","Morava - Chropyòskı luh",0.0643424171105571,0
"CZ0533308","Bohdaneèskı rybník",0.0542204324625622,0
"CZ0424030","Bezruèovo údolí",0.0541493702908616,0
"CZ0714073","Litovelské Pomoraví",0.0368162479177325,0
"CZ0314124","Blanskı les",0.0299044503399562,0
