SITECODE;HABITAT_CODE;ROZLOHA_PASEKY;ROZLOHA_HOLINY;POCET_SEGMENTU_PASEKY
CZ0110040;9170;1,343167559;1,192436973;4
CZ0110040;9180;0,177619936;0;1
CZ0110040;6190;NA;NA;NA
CZ0110040;6210;NA;NA;NA
CZ0110049;4030;NA;NA;NA
CZ0110050;9180;1,039972658;1,013638798;8
CZ0110050;6190;NA;NA;NA
CZ0110050;6210;NA;NA;NA
CZ0110050;6110;NA;NA;NA
CZ0110142;6410;NA;NA;NA
CZ0110142;9170;0,000451946;0;4
CZ0110142;9190;0,758841049;0;9
CZ0110154;8220;NA;NA;NA
CZ0110154;40A0;NA;NA;NA
CZ0110154;6190;NA;NA;NA
CZ0110154;8230;NA;NA;NA
CZ0110154;6210;NA;NA;NA
CZ0114001;9170;0,089024297;0;3
CZ0114001;9180;0;0;0
CZ0114001;6190;NA;NA;NA
CZ0114001;91H0;0;0;0
CZ0114001;6210;NA;NA;NA
CZ0210003;7140;NA;NA;NA
CZ0210008;91F0;0;0;0
CZ0210008;7230;NA;NA;NA
CZ0210010;9170;0,702203664;0;3
CZ0210010;91I0;0;0;0
CZ0210010;6210;NA;NA;NA
CZ0210011;9170;0;0;0
CZ0210011;5130;NA;NA;NA
CZ0210011;6210;NA;NA;NA
CZ0210022;9170;4,59191972;0;16
CZ0210022;6210;NA;NA;NA
CZ0210022;9190;0;0;1
CZ0210023;6510;NA;NA;NA
CZ0210027;9130;0;0;1
CZ0210027;9110;6,16E-05;0;1
CZ0210027;3130;NA;NA;NA
CZ0210028;9130;0;0;2
CZ0210028;9180;0,022583881;0;1
CZ0210028;6190;NA;NA;NA
CZ0210029;6210;NA;NA;NA
CZ0210034;7210;NA;NA;NA
CZ0210043;9110;0;0;0
CZ0210043;9180;0,025803746;0;1
CZ0210044;8230;NA;NA;NA
CZ0210044;6210;NA;NA;NA
CZ0210044;6210p;NA;NA;NA
CZ0210047;9110;0,00421056;0;1
CZ0210047;8220;NA;NA;NA
CZ0210047;9180;0;0;0
CZ0210053;9170;0,574367026;0;5
CZ0210053;4030;NA;NA;NA
CZ0210053;8220;NA;NA;NA
CZ0210053;9180;0,467080264;0;8
