"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE","POP","HABLOS","PRED","TRANSP","REPRO","WATER","DRY","VEG","OVERALL","SUFFICIENT"
"amp103","amp103","Strizovice mokrad","Bombina bombina",0,0,1,1,0,1,1,1,1,0,0
"amp104","amp104","Písečný vrch","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp11","amp11","Jizbice - pískovna","Bombina bombina",1,1,1,1,1,1,1,1,0,0.5,0
"amp110","amp110","Manušické rybníky","Bombina bombina",1,1,1,1,1,NA,1,1,NA,NA,NA
"amp114","amp114","Stružnické rybníky","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp117","amp117a","Zábřezí-Řečice - koupaliště","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp122","amp122","Rybník Buben u Červené Třemešné","Bombina bombina",0,0,1,1,0,1,1,1,NA,0,0
"amp122","amp122a","Rybník Buben u Červené Třemešné","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp122","amp122b","Rybník Buben u Červené Třemešné","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp128","amp128","Cihelna Pulice","Bombina bombina",1,1,0,1,1,1,1,1,1,0.5,0
"amp13","amp13","Srby-Malé Záplavy","Bombina bombina",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp14","amp14","cihadla","Bombina bombina",1,0,1,0,0,1,1,1,1,0.5,0
"amp140","amp140a","rybníky u Opatovického kanálu - rybník blíže k silnici","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp140","amp140b","rybníky u Opatovického kanálu - rybník dál od silnice","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp145","amp145","PP Boušovka","Bombina bombina",1,1,1,1,1,1,1,1,1,1,1
"amp157","amp157a","V Pouštích - Jezírko","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp157","amp157b","V Pouštích - Stonařovský ryb.","Bombina bombina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
