"EVL_SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","ZASTIN_P10","OVERALL","SUFFICIENT_SITES","TOTAL_SITES","SUFFICIENT_PERC"
"CZ0213001","Nový rybník u Kačiny","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0213004","Rybník Starý u Líchov","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0213005","Šáchovec","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0213013","Březnice - Oblouček","Bombina bombina",0.5,0,1,1,1,1,1,NA,1,1,1,0.25,0,2,0
"CZ0213017","Dražská Koupě","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,2,0
"CZ0213028","Kalivody","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,3,0
"CZ0213061","Týnecké mokřiny","Bombina bombina",0.833333333333333,0,1,1,1,1,1,1,1,1,1,0.416666666666667,0,6,0
"CZ0213081","Vápenické jezero","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0213082","Velký Raputovský rybník","Bombina bombina",0.5,0,1,1,1,1,1,NA,1,1,1,0.25,0,2,0
"CZ0213784","Horní a Dolní obděnický rybník","Bombina bombina",1,NA,1,1,1,0.6,1,NA,1,1,1,0.5,0,5,0
"CZ0213785","Horní solopyský rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,2,0
"CZ0213791","Jezera","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,2,0
"CZ0214009","Libické luhy","Bombina bombina",1,NA,1,1,1,1,1,0.333333333333333,1,1,0.333333333333333,0.5,0,3,0
"CZ0313115","Boukal","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,2,0
"CZ0313116","Radomilická mokřina","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,1,0.5,0,1,0
"CZ0313125","Tábor - Zahrádka","Bombina bombina",0.75,0,1,1,1,1,1,NA,1,1,1,0.375,0,4,0
"CZ0313134","Újezdec","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0314023","Třeboňsko - střed","Bombina bombina",0.05,0,1,1,0.7,1,1,0.461538461538462,1,1,1,0.025,0,20,0
"CZ0323158","Osek - rybník Labutinka","Bombina bombina",1,0,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
"CZ0413190","Ostrovské rybníky","Bombina bombina",0,0,1,1,0.777777777777778,1,1,0.222222222222222,1,1,1,0,0,9,0
"CZ0413196","Týniště","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0,1,0
