"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","ZASTIN_P10","OVERALL","SUFFICIENT"
"amp","","Adamecký rybník I","Bombina bombina",1,1,NA,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213001","CZ0213001","Nový rybník u Kačiny","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213004","CZ0213004","Rybník Starý u Líchov","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213005","CZ0213005","Šáchovec","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213013","CZ0213013_1","Březnice - Oblouček1","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0213013","CZ0213013_2","Březnice - Oblouček2","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213017","CZ0213017_1","Dražská Koupě1","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213017","CZ0213017_2","Dražská Koupě2","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213028","CZ0213028_1","Kalivody","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213028","CZ0213028_2","Kalivody","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213028","CZ0213028_3","Kalivody","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213061","CZ0213061_1","CZ0213061_1","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0213061","CZ0213061_2","CZ0213061_2","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0213061","CZ0213061_3","CZ0213061_3","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0213061","CZ0213061_4","CZ0213061_4","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0213061","CZ0213061_5","CZ0213061_5","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0213061","CZ0213061_6","CZ0213061_6","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,1,0.5,0
"CZ0213081","CZ0213081","Vápenické jezero","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213082","CZ0213082_1","Velký Raputovský rybník1","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0213082","CZ0213082_2","Velký Raputovský rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213784","CZ0213784_1","Horní a Dolní Obděnický rybník1","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213784","CZ0213784_2","Horní a Dolní Obděnický rybník2","Bombina bombina",1,NA,1,1,1,0,1,NA,1,1,1,0.5,0
"CZ0213784","CZ0213784_3","Horní a Dolní Obděnický rybník3","Bombina bombina",1,NA,1,1,1,0,1,NA,1,1,1,0.5,0
"CZ0213784","CZ0213784_4","Horní a Dolní Obděnický rybník4","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213784","CZ0213784_5","Horní a Dolní Obděnický rybník5","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213785","CZ0213785_1","Horní Solopyský rybník1","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213785","CZ0213785_2","Horní Solopyský rybník2","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213791","CZ0213791_1","Jezera1","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0213791","CZ0213791_2","Jezera2","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0214009","CZ0214009_1","EVL Libické luhy","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,0,0.5,0
"CZ0214009","CZ0214009_2","EVL Libické luhy","Bombina bombina",1,NA,1,1,1,1,1,1,1,1,0,0.5,0
"CZ0214009","CZ0214009_3","EVL Libické luhy, tůň ve Veltrubském luhu","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,1,0.5,0
"CZ0313115","CZ0313115_1","Boukal1","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0313115","CZ0313115_2","Boukal2","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0313116","CZ0313116","Radomilická mokřina","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,1,0.5,0
"CZ0313125","CZ0313125_1","Tábor - Zahrádka1","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0313125","CZ0313125_2","Tábor - Zahrádka2","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0313125","CZ0313125_3","Tábor - Zahrádka3","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0313125","CZ0313125_4","Tábor - Zahrádka4","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0313134","CZ0313134","Újezdec","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0314023","CZ0314023_1","V Luhu","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0314023","CZ0314023_10","Lesní tůň u Starého jezera","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0314023","CZ0314023_11","NPR Stará a Nová řeka, jižní tůň","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0314023","CZ0314023_12","U Soukupů, tůně","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0314023","CZ0314023_13","Lesní tůň, Na Berli","Bombina bombina",0,0,1,1,0,1,1,1,1,1,1,0,0
"CZ0314023","CZ0314023_14","Tůň Na Berli","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0314023","CZ0314023_15","Rybník Nový Vdovec","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0314023","CZ0314023_16","Travničný rybník","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0314023","CZ0314023_17","Rybník Stolec","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0314023","CZ0314023_18","Rybník Vyšehrad","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0314023","CZ0314023_19","Kocanda","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0314023","CZ0314023_2","Horní Lužnice, severovýchodní tůň","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0314023","CZ0314023_20","Smítka","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0314023","CZ0314023_3","Pískovna u Dračice","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0314023","CZ0314023_4","Rybník Kukla","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0314023","CZ0314023_5","Vizír","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0314023","CZ0314023_6","Nový Kanclíř, sever","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0314023","CZ0314023_7","Starý Kanclíř, sever","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0314023","CZ0314023_8","Staré jezero, sever","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0314023","CZ0314023_9","Rybník Pinkerl","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0323158","CZ0323158","Osek - Labutinka","Bombina bombina",1,0,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0413190","CZ0413190_1","Starý rybník","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0413190","CZ0413190_2","rybníček 1","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0413190","CZ0413190_3","rybníček 2","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0413190","CZ0413190_4","malé ryb.","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0413190","CZ0413190_5","Nové tůně","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0413190","CZ0413190_6","Dolní Štít","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0413190","CZ0413190_7","Horní Štít","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0413190","CZ0413190_8","Černý rybník","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0413190","CZ0413190_9","Ottův rybník","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0413196","CZ0413196","Týniště","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_1","Hradiště_Rybník pod Pekelným vrchem","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_10","Litoltov II.","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_11","Velká Lesná","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_12","Vlkaň I.","Bombina bombina",1,NA,1,1,1,1,1,0,1,1,1,0.5,0
"CZ0414127","CZ0414127_13","Pastviny (Brodce)","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_14","Radnice","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_15","Žďár","Bombina bombina",0,0,1,0,0,0,0,0,1,1,1,0,0
"CZ0414127","CZ0414127_16","Lom Žďár","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_17","Mlýnská","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_18","Svatobor – tůň","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_19","Žďárský rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_2","Uhlířský vrch","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_20","Doupov – pod nádražím","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_21","Rybník u Doupova","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0414127","CZ0414127_22","Obrovice – jezírko u bývalé trati","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_23","Tůň pod Ovčím vrchem","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_24","Jakubov – ryb. nad vsí dolní","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_25","Jakubov – ryb. nad vsí horní","Bombina bombina",0,0,1,1,0,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_26","Hradiště Horní Valovský rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_27","Hradiště Javorenský rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_28","Hradiště Střední Valovský rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_29","Hradiště Dolní Valovský rybník","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_3","Tocov – Kottershof","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_30","Hradiště rybník pod Valovem","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_31","Hradiště Bražecký rybník","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0414127","CZ0414127_32","Hradiště Albeřice rybník v pastvinách","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_33","Hradiště Horní Albeřický rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_34","Hradiště Hřivínovské pastviny Horní rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_35","Hradiště Hřivínovské pastviny Prostřední rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_36","Hradiště Hřivínovské pastviny Dolní rybník","Bombina bombina",0,0,1,0,1,0,0,0,1,1,1,0,0
"CZ0414127","CZ0414127_37","Hradiště koupaliště Radošov","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0414127","CZ0414127_38","Hradiště Velký Albeřický rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_39","Hradiště Malý Albeřický rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_4","Kottershof","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_40","Hradiště Lesní Albeřický rybník","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_41","Hradiště Albeřické rybníky tůň D","Bombina bombina",0,0,1,1,1,1,1,NA,1,1,1,0,0
"CZ0414127","CZ0414127_42","Hradiště Zelený rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_43","Hradiště Plešivec Spodní rybník","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_44","Hradiště Plešivec Horní rybník","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_45","Hradiště Dlouhá spodní rybník","Bombina bombina",1,NA,1,1,1,1,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_46","Hradiště Dlouhá kaluž pod hrází","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_47","Dlouhá rybníček B","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_48","Hradiště Dlouhá rybníček C","Bombina bombina",0,0,1,0,0,0,0,0,1,1,1,0,0
"CZ0414127","CZ0414127_49","Hradiště Dlouhá rybníček D","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_5","Tocov","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_50","Hradiště Dlouhá rybníček E","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_51","Hradiště Tišina horní","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_52","Hradiště Tišina spodní","Bombina bombina",1,NA,1,1,1,0,1,NA,1,1,1,0.5,0
"CZ0414127","CZ0414127_53","Hradiště Pod Tišinami","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_54","Hradiště tůň u lesa","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_55","Hradiště Dlouhá tůň v louce","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_56","Hradiště tůň v okopu","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_57","Hradiště Dlouhá zastíněná tůň","Bombina bombina",0,0,1,1,1,1,1,0,1,1,1,0,0
"CZ0414127","CZ0414127_58","Hradiště Dlouhá horská tůň","Bombina bombina",0,0,1,1,1,1,1,1,1,1,1,0,0
