"SITECODE","NAZEV","DRUH","PRESENCE","ABUNDANCE","DEADWOOD","TARGET_MON","OVERALL","SUFFICIENT","LAST_TARGET_MON","LAST_FIND"
"CZ0314024","Šumava","Buxbaumia viridis",1,0.166666666666667,NA,1,1.07142857142857,0,2015-10-27,2020-07-07
"CZ0524047","Peklo","Buxbaumia viridis",1,1,NA,1,2,0,2011-09-21,2012-08-13
"CZ0614059","Štíří důl - Řeka","Buxbaumia viridis",NA,NA,NA,NA,NA,0,NA,2003-10-12
"CZ0624096","Podyjí","Buxbaumia viridis",NA,NA,NA,NA,NA,0,NA,2010-10-21
"CZ0624130","Moravský kras","Buxbaumia viridis",0.888888888888889,0.5,NA,1,1.22222222222222,0,2022-06-04,2022-06-04
"CZ0625020","Trenckova rokle","Buxbaumia viridis",NA,NA,NA,NA,NA,0,NA,2009-07-30
"CZ0714077","Praděd","Buxbaumia viridis",1,NA,NA,1,1,0,2009-09-24,2021-10-30
"CZ0714078","Rabštejn","Buxbaumia viridis",1,1,NA,1,2,0,2009-05-26,2013-10-10
"CZ0714081","Rejvíz","Buxbaumia viridis",1,1,1,1,3,2,2020-10-08,2020-10-08
"CZ0715025","Údolí Malínského potoka","Buxbaumia viridis",NA,NA,NA,NA,NA,0,NA,2020-10-11
"CZ0724089","Beskydy","Buxbaumia viridis",0.9375,0.9,0.5,1,1.625,0,2020-05-19,2020-05-19
"CZ0810018","Sovinec","Buxbaumia viridis",1,NA,NA,1,1,0,2004-09-10,2018-06-01
