"SITECODE","NAZEV","FEATURE_CODE","DRUH","PRESENCE","PRESENCE_WINTER","ABUNDANCE","CHANGE_SITES","CHANGE_NUM","CHANGE_ALL","OVERALL","SUFFICIENT","LAST_FIND"
"CZ0213600","Bělá pod Bezdězem - zámek","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2012-01-20
"CZ0213601","Jungmannova škola v Berouně","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2019-07-17
"CZ0213602","Dobříšský zámek","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0213610","Křivoklát - hrad","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2016-03-08
"CZ0213611","Ledce - hájovna","1324","Myotis myotis",1,1,2345,1,0.609249155624838,1,2,1,2021-06-12
"CZ0213612","Loučeň - hotel Jivák","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0213613","Malešov","1308","Barbastella barbastellus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0213615","Štola Jarnice","1303","Rhinolophus hipposideros",NA,NA,0,0,0,0,0,NA,2020-01-25
"CZ0213620","Štola Mořic","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2016-02-27
"CZ0213621","Štoly Velké Ameriky","1308","Barbastella barbastellus",1,1,41,0.666666666666667,1.025,1,1.125,1,2022-02-04
"CZ0213621","Štoly Velké Ameriky","1324","Myotis myotis",1,1,185,0.75,0.822222222222222,1,0.75,1,2022-02-04
"CZ0213626","Suchomasty - zámeček","1303","Rhinolophus hipposideros",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0213628","Točník - hrad","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-08-27
"CZ0213629","Týnecká rotunda","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0213630","Vysoký Újezd - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0213631","Svatá Dobrotivá","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0214003","Zlatý kůň","1324","Myotis myotis",1,1,163,1,1.03821656050955,1,0.5,1,2022-02-01
"CZ0214003","Zlatý kůň","1303","Rhinolophus hipposideros",1,1,148,1,1.30973451327434,1,0.8,1,2022-02-01
"CZ0214012","Příhrazské skály","1303","Rhinolophus hipposideros",1,1,8,0,0.011142061281337,0,0.5,0.5,2021-10-07
"CZ0214016","Želivka","1308","Barbastella barbastellus",NA,NA,0,0,0,0,0,NA,2020-01-30
"CZ0214017","Karlštejn - Koda","1308","Barbastella barbastellus",1,1,60,0.2,2.4,1,0.65,1,2022-02-03
"CZ0214017","Karlštejn - Koda","1324","Myotis myotis",1,1,1202,0.547619047619048,1.00166666666667,1,1.05357142857143,1,2022-02-03
"CZ0313635","Kratochvíle - zámek","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2017-07-28
"CZ0313820","Prachatice - kostel","1324","Myotis myotis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0314024","Šumava","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-08-27
"CZ0314024","Šumava","1303","Rhinolophus hipposideros",NA,NA,0,NA,NA,NA,0,NA,2018-09-28
"CZ0314124","Blanský les","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-01-20
"CZ0314634","Chýnovská jeskyně","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-02-05
"CZ0323636","Dolany - kostel","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-08
"CZ0323637","Štola Rohatiny I","1324","Myotis myotis",NA,NA,0,NA,NA,NA,0,NA,2018-02-02
"CZ0323638","Jeskyně Inků","1308","Barbastella barbastellus",1,1,5,1,0.833333333333333,1,2,1,2021-01-28
"CZ0323639","Liblín - lihovar","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-08
"CZ0323640","Manětín - kostel","1324","Myotis myotis",NA,NA,0,0,0,0,0,NA,2020-07-08
