"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0213600","Bělá pod Bezdězem - zámek","Bělá pod Bezdězem - zámek","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2012-01-20,0
"CZ0213601","Jungmannova škola v Berouně","Beroun - ZŠ Jungmannova","Myotis myotis","1324",NA,NA,NA,0,0,0,600,NA,2019-07-17,0
"CZ0213610","Křivoklát - hrad","Křivoklát - věž hradu","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2012-02-13,0
"CZ0213611","Ledce - hájovna","Ledce","Myotis myotis","1324",NA,NA,NA,0,2345,3849,3542,0,2021-06-12,0
"CZ0213615","Štola Jarnice","Jarnice - štola","Rhinolophus hipposideros","1303",NA,NA,NA,0,0,2,1,NA,2020-01-25,0
"CZ0213621","Štoly Velké Ameriky","Anděrova štola","Barbastella barbastellus","1308",1,1,16,43,41,40,113,0,2022-02-04,1
"CZ0213621","Štoly Velké Ameriky","Bucharova štola","Barbastella barbastellus","1308",1,1,5,43,41,40,113,1,2022-02-03,2
"CZ0213621","Štoly Velké Ameriky","Maršálkova štola","Barbastella barbastellus","1308",1,1,7,43,41,40,113,0,2022-02-04,1
"CZ0213621","Štoly Velké Ameriky","Mořina - Gotická chodba v lomu Mexiko","Barbastella barbastellus","1308",NA,NA,NA,43,41,40,113,0,2021-01-30,0
"CZ0213621","Štoly Velké Ameriky","Mořina - Vodní štola v Mexiku","Barbastella barbastellus","1308",NA,NA,NA,43,41,40,113,NA,2019-02-01,0
"CZ0213621","Štoly Velké Ameriky","Velká Amerika","Barbastella barbastellus","1308",NA,NA,NA,43,41,40,113,NA,2018-09-29,0
"CZ0213621","Štoly Velké Ameriky","vodní štola ve Velké Americe","Barbastella barbastellus","1308",1,1,14,43,41,40,113,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Zbytovského štola","Barbastella barbastellus","1308",1,1,1,43,41,40,113,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Anděrova štola","Myotis myotis","1324",1,1,8,70,185,225,70,0,2022-02-04,1
"CZ0213621","Štoly Velké Ameriky","Bucharova štola","Myotis myotis","1324",1,1,1,70,185,225,70,0,2022-02-03,1
"CZ0213621","Štoly Velké Ameriky","Maršálkova štola","Myotis myotis","1324",1,1,24,70,185,225,70,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Mořina - Gotická chodba v lomu Mexiko","Myotis myotis","1324",NA,NA,NA,70,185,225,70,0,2021-01-30,0
"CZ0213621","Štoly Velké Ameriky","Mořina - Vodní štola v Mexiku","Myotis myotis","1324",NA,NA,NA,70,185,225,70,NA,2019-02-01,0
"CZ0213621","Štoly Velké Ameriky","Velká Amerika","Myotis myotis","1324",NA,NA,NA,70,185,225,70,NA,2018-09-29,0
"CZ0213621","Štoly Velké Ameriky","vodní štola ve Velké Americe","Myotis myotis","1324",1,1,36,70,185,225,70,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Zbytovského štola","Myotis myotis","1324",1,1,1,70,185,225,70,0,2022-02-04,1
"CZ0213628","Točník - hrad","Královský palác na hradě Točník","Myotis myotis","1324",NA,NA,NA,0,0,555,820,NA,2020-08-27,0
"CZ0213628","Točník - hrad","Točník","Myotis myotis","1324",NA,NA,NA,0,0,555,820,NA,2019-08-10,0
"CZ0213628","Točník - hrad","Točník - hrad","Myotis myotis","1324",NA,NA,NA,0,0,555,820,NA,2020-07-02,0
"CZ0214003","Zlatý kůň","jeskyně Zlomená","Myotis myotis","1324",1,1,2,161,163,157,107,0,2022-02-01,1
"CZ0214003","Zlatý kůň","jeskyně Žába","Myotis myotis","1324",NA,NA,NA,161,163,157,107,NA,2017-02-01,0
