"SITECODE","NAZEV","LOKALITA","DRUH","FEATURE_CODE","PRESENCE","PRESENCE_WINTER","ABUNDANCE_SITE","POP_0_ALL","POP_1_ALL","POP_2_ALL","POP_3_ALL","CHANGE","LAST_FIND","OVERALL"
"CZ0213600","Bělá pod Bezdězem - zámek","Bělá pod Bezdězem - zámek","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2012-01-20,0
"CZ0213601","Jungmannova škola v Berouně","Beroun - ZŠ Jungmannova","Myotis myotis","1324",NA,NA,NA,0,0,600,0,NA,2019-07-17,0
"CZ0213610","Křivoklát - hrad","Křivoklát - sklepy pivovaru","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2016-03-08,0
"CZ0213610","Křivoklát - hrad","Křivoklát - věž hradu","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2012-02-13,0
"CZ0213611","Ledce - hájovna","Ledce","Myotis myotis","1324",1,1,2345,2345,3849,3542,4204,1,2021-06-12,2
"CZ0213615","Štola Jarnice","Jarnice - štola","Rhinolophus hipposideros","1303",NA,NA,NA,0,2,1,0,0,2020-01-25,0
"CZ0213620","Štola Mořic","Roudný - štola Mořic","Myotis myotis","1324",NA,NA,NA,0,0,0,0,NA,2016-02-27,0
"CZ0213621","Štoly Velké Ameriky","Anděrova štola","Barbastella barbastellus","1308",NA,NA,NA,41,40,113,42,0,2022-02-04,0
"CZ0213621","Štoly Velké Ameriky","Bucharova štola","Barbastella barbastellus","1308",1,1,7,41,40,113,42,1,2022-02-03,2
"CZ0213621","Štoly Velké Ameriky","Maršálkova štola","Barbastella barbastellus","1308",1,1,12,41,40,113,42,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Mořina - Gotická chodba v lomu Mexiko","Barbastella barbastellus","1308",1,1,3,41,40,113,42,1,2021-01-30,2
"CZ0213621","Štoly Velké Ameriky","Mořina - Vodní štola v Mexiku","Barbastella barbastellus","1308",NA,NA,NA,41,40,113,42,NA,2019-02-01,0
"CZ0213621","Štoly Velké Ameriky","Velká Amerika","Barbastella barbastellus","1308",NA,NA,NA,41,40,113,42,NA,2018-09-29,0
"CZ0213621","Štoly Velké Ameriky","vodní štola ve Velké Americe","Barbastella barbastellus","1308",1,1,18,41,40,113,42,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Zbytovského štola","Barbastella barbastellus","1308",1,1,1,41,40,113,42,0,2022-02-04,1
"CZ0213621","Štoly Velké Ameriky","Anděrova štola","Myotis myotis","1324",NA,NA,NA,185,225,70,158,0,2022-02-04,0
"CZ0213621","Štoly Velké Ameriky","Bucharova štola","Myotis myotis","1324",NA,NA,NA,185,225,70,158,NA,2022-02-03,0
"CZ0213621","Štoly Velké Ameriky","Maršálkova štola","Myotis myotis","1324",1,1,31,185,225,70,158,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Mořina - Gotická chodba v lomu Mexiko","Myotis myotis","1324",1,1,114,185,225,70,158,1,2021-01-30,2
"CZ0213621","Štoly Velké Ameriky","Mořina - Vodní štola v Mexiku","Myotis myotis","1324",NA,NA,NA,185,225,70,158,NA,2019-02-01,0
"CZ0213621","Štoly Velké Ameriky","Velká Amerika","Myotis myotis","1324",NA,NA,NA,185,225,70,158,NA,2018-09-29,0
"CZ0213621","Štoly Velké Ameriky","vodní štola ve Velké Americe","Myotis myotis","1324",1,1,40,185,225,70,158,1,2022-02-04,2
"CZ0213621","Štoly Velké Ameriky","Zbytovského štola","Myotis myotis","1324",NA,NA,NA,185,225,70,158,NA,2022-02-04,0
"CZ0213628","Točník - hrad","Královský palác na hradě Točník","Myotis myotis","1324",NA,NA,NA,0,555,820,600,0,2020-08-27,0
"CZ0213628","Točník - hrad","Točník","Myotis myotis","1324",NA,NA,NA,0,555,820,600,NA,2019-08-10,0
"CZ0213628","Točník - hrad","Točník - hrad","Myotis myotis","1324",NA,NA,NA,0,555,820,600,0,2020-07-02,0
"CZ0214003","Zlatý kůň","jeskyně Zlomená","Myotis myotis","1324",NA,NA,NA,163,157,107,126,NA,2022-02-01,0
"CZ0214003","Zlatý kůň","Jeskyně Zlomená","Myotis myotis","1324",NA,NA,NA,163,157,107,126,NA,2016-02-02,0
"CZ0214003","Zlatý kůň","jeskyně Žába","Myotis myotis","1324",NA,NA,NA,163,157,107,126,NA,2017-02-01,0
