"LOKALITA","SITECODE","PRESENCE_site","MICROSITE_site","ABUNDANCE_site","TREND_site","STRUCTAGE_site","STRUCTSPE_site","MANAGEMENT_site","OVERALL_site","TARGET_MON_site","ID_ND_NALEZ","LAST_TARGET_MON","LAST_FIND"
"NPR Týřov","CZ0214011",1,NA,NA,NA,NA,NA,NA,1,0,36061703,NA,2015-10-14
"Týřov, NPR","CZ0214011",1,NA,1,NA,NA,NA,NA,2,0,46495632,NA,2015-10-14
"NPR Týřov_údolí Prostředního potoka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26647051,NA,2015-10-14
"Týřov, NPR - 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350710,NA,2015-10-14
"Týřov, NPR - 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350933,NA,2015-10-14
"Týřov, NPR - 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350815,NA,2015-10-14
"Týřov, NPR - 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350595,NA,2015-10-14
"Týřov, NPR - 13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350816,NA,2015-10-14
"Týřov, NPR - 14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350817,NA,2015-10-14
"Týřov, NPR - 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350594,NA,2015-10-14
"Týřov, NPR - 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350520,NA,2015-10-14
"Týřov, NPR - 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350814,NA,2015-10-14
"Týřov, NPR - 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350658,NA,2015-10-14
"Týřov, NPR - 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350880,NA,2015-10-14
"Týřov, NPR - 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350711,NA,2015-10-14
"Týřov, NPR - 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350659,NA,2015-10-14
"NPR Žofínský prales","CZ0310163",1,NA,NA,NA,NA,NA,NA,1,0,43790901,NA,2015-08-06
"EVL Žofínský prales - Pivonické skály: Pivonický vrch, Smrčina, Stříbrný vrch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33771768,NA,2015-08-06
"Kaplice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47826091,NA,2015-08-06
"NPR Žofínský prales 544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33876410,NA,2015-08-06
"Žofínský prales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44354011,NA,2015-08-06
"Baba, PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34625705,NA,2013-09-06
"EVL Hlubocké obory (projekt JCK)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33868294,NA,2013-09-06
"Karbanice, PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34625709,NA,2013-09-06
"Libochovka, PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34625706,NA,2013-09-06
"Stará obora proti ústí Libochovky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34625708,NA,2013-09-06
"Netřeb","CZ0325003",1,NA,NA,NA,NA,NA,NA,1,0,39194372,NA,2016-11-24
"Netřeb, PR","CZ0325003",1,NA,NA,NA,NA,NA,NA,1,0,46496216,NA,2016-11-24
"Kanice u Domažlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350805,2011-10-16,2016-11-24
"Loučky","CZ0610159",1,NA,NA,NA,NA,NA,NA,1,0,47847189,NA,2018-11-05
"PR V Klučí","CZ0610159",1,0,1,NA,NA,NA,NA,2,0,46336277,NA,2018-11-05
"Velký Špičák","CZ0610159",1,NA,1,NA,NA,NA,NA,2,0,46496215,NA,2018-11-05
"Velký Špičák - 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350526,2011-04-12,2018-11-05
"Velký Špičák - 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350771,2011-04-12,2018-11-05
"Velký Špičák - 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350666,2011-04-12,2018-11-05
"Velký Špičák - 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350884,2011-04-12,2018-11-05
"Velký Špičák - 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350822,2011-04-12,2018-11-05
"Velký Špičák - 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350885,2011-04-12,2018-11-05
"Velký Špičák - 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350667,2011-04-12,2018-11-05
"Velký Špičák - 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23350668,2011-04-12,2018-11-05
