"POLE","SITECODE","NAZEV","DRUH","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV","TARGET_MON","OVERALL","LAST_TARGET_MON","LAST_FIND"
"6052a","CZ0113005","Lochkovský profil","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2011-05-19
"5951d","CZ0114001","Radotínské údolí","Euplagia quadripunctaria",1,1,1,1,1,4,2021-07-31,2022-05-11
"6051b","CZ0114001","Radotínské údolí","Euplagia quadripunctaria",1,1,1,1,1,4,2021-07-31,2021-07-31
"6252a","CZ0213023","Hrdlička - Žďánská hora","Euplagia quadripunctaria",1,1,1,1,1,4,2021-08-04,2021-08-04
"6152b","CZ0213043","Třeštibok","Euplagia quadripunctaria",1,1,1,1,1,4,2021-07-29,2021-07-29
"5949c","CZ0213065","Na Babě","Euplagia quadripunctaria",1,1,1,1,1,4,2021-06-19,2021-06-19
"6052a","CZ0213779","Břežanské údolí","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2011-07-15
"6052b","CZ0213779","Břežanské údolí","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2014-08-18
"6052c","CZ0213802","V hladomoří","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2006-08-05
"6050b","CZ0214017","Karlštejn - Koda","Euplagia quadripunctaria",1,1,1,0,1,3,2021-08-20,2021-08-20
"6050d","CZ0214017","Karlštejn - Koda","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2021-07-25
"6051c","CZ0214017","Karlštejn - Koda","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2001-01-01
"6050c","CZ0214037","Kotýz","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2020-07-31
"7051a","CZ0314124","Blanský les","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2021-08-07
"7051b","CZ0314124","Blanský les","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2021-08-07
"7051c","CZ0314124","Blanský les","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2019-08-19
"7051d","CZ0314124","Blanský les","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2020-08-16
"7052c","CZ0314124","Blanský les","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2020-08-17
"7151a","CZ0314124","Blanský les","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2020-08-08
"7151b","CZ0314124","Blanský les","Euplagia quadripunctaria",1,NA,NA,NA,0,NA,NA,2022-07-31
