"SITECODE";"NAZEV";"HABITAT_CODE";"ROZLOHA";"TYPICKE_DRUHY";"REPRE";"REPRE_SDF";"KVALITA_ORIG";"KVALITA";"MINIMIAREAL";"MOZAIKA";"CELISTVOST";"KONEKTIVITA";"RED_LIST";"INVASIVE";"EXPANSIVE";"MRTVE_DREVO";"KALAMITA_POLOM";"RED_LIST_SPECIES";"INVASIVE_LIST";"EXPANSIVE_LIST";"RELATIVE_AREA_PERC";"EVL_AREA_PERC";"W_AREA_HA";"W_AREA_PERC";"VYPLNENOST_TD";"VYPLNENOST_KVALITA";"VYPLNENOST_MD";"PERC_SPAT";"PERC_0";"PERC_1";"PERC_2";"DATE_MIN";"DATE_MAX";"DATE_MEAN";"DATE_MEDIAN"
"CZ0110040";"ChuchelskÈ h·je";"9170";39,9027808673435;6,18217225183767;4,1331881072617;4,19167605821088;5,71420758168366;4,45017320165536;1,33009269557812;10;5,12733839638829;9,75305164167765;0,620309568482572;6,97197989233548;10;4,49228055147549;0,77176543746048;"Neottia nidus-avis, Cephalanthera damasonium";"Impatiens parviflora, Galeobdolon argentatum, Robinia pseudacacia";"NA";0,0239964649999574;53,3308379382718;0;0;0,826197294441722;1;0,826197294441722;100;0;100;0;2011-05-31;2011-06-19;2011-06-05;2011-05-31
"CZ0110040";"ChuchelskÈ h·je";"9180";2,44443055035683;5;10;6,66666666666667;10;6,66666666666667;0,305553818794604;10;0;10;10;10;10;5;0;"Orobanche caryophyllacea, Prunus mahaleb, Oxytropis pilosa, Hieracium cymosum, Hieracium echioides, Potentilla arenaria, Prunella laciniata, Potentilla alba, Aethusa cynapioides, Clematis recta, Allium rotundum, Allium strictum, Anemone sylvestris, Dictamnus albus, Erysimum crepidifolium, Anthericum liliago, Antennaria dioica, Centaurea triumfettii subsp. axillaris, Caucalis platycarpos, Chamaecytisus ratisbonensis, Cephalanthera damasonium, Arabis pauciflora, Malva alcea, Bupleurum longifolium, Aurinia saxatilis subsp. arduini, Berberis vulgaris, Geranium sanguineum, Gentianopsis ciliata, Galium glaucum, Hyoscyamus niger, Inula germanica, Jovibarba globifera subsp. globifera, Iris aphylla subsp. aphylla, Iris aphylla, Aster linosyris, Lactuca perennis, Lactuca quercina, Medicago minima, Melampyrum arvense, Melica picta, Jovibarba globifera, Arenaria leptoclados, Thalictrum minus";"NA";"NA";0,0137946672867495;3,2670286806785;0;0;1;1;1;100;0;100;0;2011-05-31;2011-05-31;2011-05-31;2011-05-31
"CZ0110040";"ChuchelskÈ h·je";"6190";0,376165148754565;5,97051983349075;5,97051983349075;4,62735977798766;9,23161512480852;9,23161512480852;0,75233029750913;10;0;10;1,820042670425;10;10;NA;NA;"Iris aphylla, Jovibarba globifera, Iris aphylla subsp. aphylla";"NA";"NA";0,11589358364629;0,502751992472628;0;0;1;1;0;19,4103966698149;0;100;0;2011-05-31;2011-06-18;2011-06-12;2011-06-18
"CZ0110040";"ChuchelskÈ h·je";"6210";2,68776997781399;8,02890138294805;5,89168257443682;6,02900066632389;6,885964764994;6,59683132052377;1,34388498890699;10;0;9,62062042764117;6,45242376616573;5,30084392665283;6,39693726844881;NA;NA;"Anthericum liliago, Helianthemum canum, Prunella grandiflora, Bothriochloa ischaemum, Cirsium acaule, Linum austriacum, Carex humilis, Inula hirta, Centaurea triumfettii subsp. axillaris, Aster linosyris, Oxytropis pilosa, Pulsatilla pratensis subsp. bohemica, Verbena officinalis, Anemone sylvestris, Potentilla arenaria, Erysimum crepidifolium";"Arrhenatherum elatius, Solidago canadensis, Senecio vernalis";"Prunus spinosa";0,0199681665831743;3,59225652915486;0;0;0,975416591579808;1;0;75,5557914201843;0;100;0;2011-04-18;2011-06-18;2011-05-18;2011-05-18
"CZ0110049";"Havr·nka a Salabka";"4030";1,71160119777706;10;10;10;10;7,79136371326974;3,42320239555411;10;8,44256646797259;7,07854445251279;0,410350278310344;1,55743353202741;10;NA;NA;"Gagea bohemica subsp. bohemica";"Laburnum anagyroides, Conyza canadensis";"NA";0,123319325486754;62,5851374343867;0;0;1;1;0;100;0;100;0;2009-09-06;2009-09-06;2009-09-06;2009-09-06
"CZ0110050";"ProkopskÈ ˙dolÌ";"9180";6,77766932559562;4,63197791615311;4,63197791615311;3,08798527743541;9,26395583230622;9,26395583230622;0,847208665699452;10;0;9,65012819945886;9,34917711976721;10;10;0;9,26395583230622;"Carex humilis, Centaurea triumfettii subsp. axillaris, Anemone sylvestris, Lactuca perennis, Teucrium botrys, Galium mollugo, Galium glaucum, Anthericum liliago, Asperula tinctoria, Sorbus aria, Anthyllis vulneraria subsp. carpatica, Jovibarba globifera, Bothriochloa ischaemum, Silene nemoralis, Arabis pauciflora, Erysimum crepidifolium, Cirsium acaule, Potentilla arenaria, Seseli hippomarathrum, Aster linosyris, Pulsatilla pratensis subsp. bohemica, Stipa capillata, Helianthemum canum, Muscari tenuiflorum, Thalictrum foetidum, Cotoneaster integerrimus";"NA";"NA";0,0382484555810151;5,34631245122891;0;0;0,926395583230622;1;0,926395583230622;100;0;100;0;2009-06-11;2009-08-02;2009-07-07;2009-07-07
"CZ0110050";"ProkopskÈ ˙dolÌ";"6190";7,59877384892237;6,2276474340973;4,49003525803436;4,98385439918509;9,00774965372126;5,59935604730137;10;10;2,90985770226564;9,77163190231636;10;6,39706467537142;9,0336552516881;NA;NA;"Muscari tenuiflorum, Onobrychis arenaria, Oxytropis pilosa, Prunus mahaleb, Potentilla arenaria, Cirsium pannonicum, Conringia orientalis, Anemone sylvestris, Erysimum crepidifolium, Corynephorus canescens, Anthericum liliago, Centaurea triumfettii subsp. axillaris, Gentianopsis ciliata, Geranium sanguineum, Galium glaucum, Asperula tinctoria, Carex humilis, Cotoneaster integerrimus, Helianthemum canum, Jovibarba globifera, Pulsatilla pratensis subsp. bohemica, Seseli hippomarathrum, Aster linosyris, Stipa capillata, Inula hirta, Inula salicina, Lactuca perennis, Lathyrus latifolius, Juniperus communis, Melampyrum arvense, Bothriochloa ischaemum, Dictamnus albus, Aurinia saxatilis subsp. arduini, Thalictrum minus, Cirsium acaule, Sorbus aria, Linum austriacum, Silene nemoralis, Clematis recta, Silene otites, Veronica praecox, Allium strictum, Saxifraga tridactylites, Potentilla alba, Chamaecytisus ratisbonensis, Stipa pennata";"Pinus nigra, Colutea arborescens, Echinops sphaerocephalus, Robinia pseudacacia";"Prunus spinosa, Ligustrum vulgare, Rosa sp.";2,34112366758336;5,99401022548355;0;0;0,865280870863337;1;0;60,9533194669138;0;100;0;2001-07-05;2009-09-29;2008-12-29;2009-06-11
"CZ0110050";"ProkopskÈ ˙dolÌ";"6210";24,1053835204625;6,04311387279178;5,77492525982297;4,89610324848014;7,15592378844943;5,7205285371377;10;10;3,7388126969176;9,8305524697258;10;4,22733709718734;7,57321897895444;NA;NA;"Muscari tenuiflorum, Onobrychis arenaria, Orobanche caryophyllacea, Prunus mahaleb, Oxytropis pilosa, Potentilla alba, Prunella grandiflora, Petrorhagia prolifera, Polycnemum majus, Populus nigra, Potentilla arenaria, Cirsium acaule, Rumex acetosella subsp. multifidus, Cirsium pannonicum, Achillea setacea, Adonis aestivalis, Adonis flammea, Conringia orientalis, Clematis recta, Allium strictum, Anemone sylvestris, Potentilla rupestris, Dracocephalum austriacum, Dictamnus albus, Erysimum odoratum, Erysimum crepidifolium, Erysimum repandum, Corynephorus canescens, Anthemis austriaca, Crepis praemorsa, Anthericum liliago, Centaurea triumfettii subsp. axillaris, Crepis foetida subsp. rhoeadifolia, Galeopsis ladanum, Carex supina, Caucalis platycarpos, Cephalanthera damasonium, Chamaecytisus ratisbonensis, Antennaria dioica, Cerastium pumilum, Arenaria leptoclados, Aquilegia vulgaris, Arabis pauciflora, Carex humilis, Carduus nutans, Bupleurum longifolium, Campanula gentilis, Bothriochloa ischaemum, Botrychium lunaria, Astragalus danicus, Asperula tinctoria, Berberis vulgaris, Aurinia saxatilis subsp. arduini, Artemisia pontica, Gentianopsis ciliata, Geranium sanguineum, Galium glaucum, Gagea minima, Gentianella amarella, Gagea transversalis, Gagea villosa, Hieracium schmidtii, Inula salicina, Inula hirta, Inula germanica, Jovibarba globifera subsp. globifera, Iris aphylla, Linum flavum, Lavatera thuringiaca, Leonurus cardiaca, Linum austriacum, Aster linosyris, Lactuca viminea, Lactuca perennis, Lathyrus latifolius, Juniperus communis, Lactuca saligna, Marrubium vulgare, Medicago minima, Melampyrum arvense, Stipa capillata, Seseli hippomarathrum, Sorbus danubialis, Pulsatilla pratensis subsp. bohemica, Helianthemum canum, Silene otites, Silene nemoralis, Pyrus pyraster, Serratula tinctoria, Euphorbia stricta, Cotoneaster integerrimus, Hieracium cymosum, Jovibarba globifera, Sorbus aria, Lappula squarrosa, Vicia lathyroides, Teucrium botrys, Veronica praecox, Verbascum densiflorum, Taxus baccata, Scabiosa canescens, Muscari comosum, Thymus serpyllum, Veronica austriaca, Scabiosa columbaria";"Pinus nigra, Arrhenatherum elatius, Juglans regia, Solidago canadensis, Echinops sphaerocephalus, Robinia pseudacacia, Laburnum anagyroides, Aesculus hippocastanum, Lathyrus hirsutus, Colutea arborescens";"Crataegus monogyna, Ligustrum vulgare, Rosa canina, Rosa rubiginosa, Crataegus sp., Rosa sp., Rubus sp., Sambucus nigra, Urtica dioica, Calamagrostis epigejos, Prunus spinosa";0,179085382179685;19,0146355429891;0;0;0,943546221133241;1;0;75,803719856567;0;100;0;2001-07-05;2009-09-28;2009-02-09;2009-06-11
"CZ0110050";"ProkopskÈ ˙dolÌ";"6110";0,373686445541654;5;5;3,33333333333333;10;10;3,73686445541654;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"NA";"NA";0,661675151442297;0,294768658764457;0;0;1;1;0;0;0;100;0;2009-05-05;2009-05-05;2009-05-05;2009-05-05
"CZ0110142";"Blatov a Xaverovsk˝ h·j";"6410";1,79489793295133;1,025417032722;1,025417032722;0,683611355148003;0;0,683611355148003;0,598299310983778;NA;NA;NA;1,22507876748252;10;10;NA;NA;"Carex cespitosa, Carex hartmanii, Lythrum hyssopifolia";"NA";"NA";0,0240693935998309;0,839188492648741;0;0;0,205083406544401;1;0;100;0;100;0;2008-06-16;2008-09-21;2008-08-01;2008-07-05
"CZ0110142";"Blatov a Xaverovsk˝ h·j";"9170";15,537949555054;0,344857454613992;2,96239820169654;1,21737103697484;0,368692948249192;0,245795298832795;0,517931651835135;10;0;10;0;10;10;2,64137624071775;0;"NA";"NA";"NA";0,00934410721670037;7,26462949596116;0;0;0,333109114994573;1;0,333109114994573;100;0;100;0;2008-06-16;2008-09-21;2008-08-09;2008-09-02
"CZ0110142";"Blatov a Xaverovsk˝ h·j";"9190";88,5904366438391;5,77606615636815;4,21296543602215;4,26234814847614;4,09965681522696;2,82025679620369;10;10;10;8,4168567156402;2,62881863299746;5,26381597996256;6,42373201239687;1,90729705127843;0;"Trollius altissimus, Dactylorhiza majalis, Carex cespitosa, Ophioglossum vulgatum, Verbascum densiflorum, Populus nigra, Serratula tinctoria, Neottia nidus-avis, Myriophyllum verticillatum";"Quercus rubra, Cytisus scoparius, Impatiens parviflora, Prunus serotina, Galeobdolon argentatum";"Rubus fruticosus agg., Rubus idaeus";0,938552852591447;41,4196671718229;0;0;0,71910187393522;1;0,71910187393522;100;0;100;0;2008-06-16;2008-09-21;2008-07-20;2008-06-18
"CZ0110154";"KaÚon Vltavy u Sedlce";"8220";2,90660613052435;5,56459188348327;8,89788715814094;6,85120521194443;10;9,74627467565207;9,68868710174783;10;10;9,96148017856873;10;10;10;NA;NA;"Muscari tenuiflorum, Orthantha lutea, Prunus mahaleb, Hieracium cymosum, Hieracium echioides, Potentilla arenaria, Rumex acetosella subsp. multifidus, Achillea setacea, Dictamnus albus, Erysimum crepidifolium, Anthericum liliago, Corynephorus canescens, Centaurea triumfettii subsp. axillaris, Carex supina, Chondrilla juncea, Prunus fruticosa, Aquilegia vulgaris, Armeria vulgaris, Carex humilis, Bothriochloa ischaemum, Aurinia saxatilis subsp. arduini, Berberis vulgaris, Geranium sanguineum, Galium glaucum, Hieracium schmidtii, Jovibarba globifera subsp. globifera, Lavatera thuringiaca, Aster linosyris, Lactuca viminea, Lactuca perennis, Medicago minima, Melampyrum arvense, Sorbus collina, Spergula morisonii, Gagea bohemica subsp. bohemica, Viola rupestris";"NA";"NA";0,042689238013918;8,36414556558239;0;0;1;1;0;29,7226892005154;0;70,2773107994847;29,7226892005154;2008-06-12;2017-08-14;2010-03-20;2009-06-27
"CZ0110154";"KaÚon Vltavy u Sedlce";"40A0";3,29801167500762;9,98187798267711;9,80219444076759;9,86208895473743;9,98187798267711;9,40185333654761;10;10;0;10;3,47500280294308;10;10;NA;NA;"Muscari tenuiflorum, Armeria vulgaris subsp. vulgaris, Campanula gentilis, Allium strictum, Jovibarba globifera subsp. globifera, Hieracium echioides";"NA";"NA";6,68606537475368;9,49046705608427;0;0;0,998187798267711;1;0;3,02823305489663;0;97,6358445928882;2,36415540711177;2008-06-13;2017-08-14;2010-10-07;2009-06-27
"CZ0110154";"KaÚon Vltavy u Sedlce";"6190";6,43109509097021;9,35053722810313;9,43906174874836;9,19306598456766;10;9,21021555682953;10;10;4,3463326617138;9,46838935799354;9,35803053423786;9,92663170474156;6,9703203787643;NA;NA;"Thymus serpyllum, Stipa capillata, Potentilla arenaria, Lactuca perennis, Cotoneaster integerrimus, Sorbus aria, Stipa pennata, Spergula morisonii, Erysimum crepidifolium, Silene otites, Galium glaucum, Centaurea triumfettii subsp. axillaris, Aurinia saxatilis subsp. arduini, Hieracium echioides, Pulsatilla pratensis subsp. bohemica, Gagea bohemica subsp. bohemica, Gagea villosa, Chondrilla juncea, Carex humilis, Pyrus pyraster, Stipa pennata var. pennata, Berberis vulgaris, Ornithogalum umbellatum, Adonis aestivalis";"Arrhenatherum elatius";"Rosa canina, Ligustrum vulgare, Sambucus nigra, Crataegus sp., Prunus spinosa";1,98137084025532;18,5063311200246;0;0;1;1;0;44,3562566565548;0;89,0569007264308;10,9430992735692;2008-06-13;2017-08-14;2010-12-09;2009-06-27
"CZ0110154";"KaÚon Vltavy u Sedlce";"8230";1,88258901282457;9,28542802552184;10;9,52361868368122;9,98412648105655;9,51832751070008;3,13764835470761;10;0;10;0;10;10;NA;NA;"NA";"NA";"NA";2,23458243218884;5,41740016924486;0;0;1;1;0;2,34925681571966;0;95,9585806929312;4,04141930706884;2008-06-12;2017-08-14;2011-02-14;2009-06-27
"CZ0110154";"KaÚon Vltavy u Sedlce";"6210";3,88127745171319;8,73074270464654;6,29682202826901;6,68504315527704;9,62198992219859;8,43701131942084;1,94063872585659;10;0;9,55666731066886;10;7,48922155425118;7,70476718737181;NA;NA;"Muscari tenuiflorum, Populus nigra, Orobanche artemisiae-campestris, Orobanche elatior, Oxytropis pilosa, Prunus mahaleb, Papaver argemone, Petrorhagia prolifera, Orobanche arenaria, Hieracium cymosum, Hieracium echioides, Potentilla arenaria, Rumex acetosella subsp. multifidus, Adonis vernalis, Clematis recta, Anagallis foemina, Diplotaxis muralis, Erysimum crepidifolium, Erysimum diffusum, Corynephorus canescens, Crataegus praemonticola, Anthericum liliago, Centaurea triumfettii subsp. axillaris, Chondrilla juncea, Carex supina, Caucalis platycarpos, Arenaria leptoclados, Carex humilis, Bothriochloa ischaemum, Campanula gentilis, Aurinia saxatilis subsp. arduini, Berberis vulgaris, Geranium sanguineum, Galium glaucum, Jovibarba globifera subsp. globifera, Aster linosyris, Lactuca viminea, Lactuca perennis, Medicago minima, Stipa capillata, Muscari comosum, Silene otites, Sorbus danubialis, Gagea bohemica subsp. bohemica, Gagea villosa, Spergula morisonii, Armeria vulgaris, Cotoneaster integerrimus, Stipa pennata var. pennata";"Arrhenatherum elatius, Impatiens parviflora";"Crataegus monogyna, Rubus fruticosus agg., Crataegus sp., Prunus spinosa, Rosa canina";0,0288350548413972;11,1688918720767;0;0;1;1;0;71,1862943811817;0;90,7032459443171;9,29675405568286;2008-06-11;2017-08-14;2010-10-01;2009-06-06
"CZ0114001";"RadotÌnskÈ ˙dolÌ";"9170";49,5544367058225;7,29502184266715;6,6010942908115;6,36668600298529;8,23891605077117;7,88977972361988;1,65181455686075;10;0;9,81304173570269;10;9,15967095456388;9,27173865423242;3,29818966904202;0;"Lactuca perennis, Thlaspi montanum, Oxytropis pilosa, Silene otites, Potentilla arenaria, Aster linosyris, Carex humilis, Helianthemum canum, Galium glaucum, Aster amellus, Clematis recta, Cotoneaster integerrimus, Anthericum liliago, Quercus pubescens, Epipactis atrorubens, Cirsium pannonicum, Seseli hippomarathrum, Bothriochloa ischaemum, Muscari tenuiflorum, Asperula tinctoria, Stipa capillata, Dictamnus albus, Arabis pauciflora, Anemone sylvestris, Campanula bononiensis, Pulsatilla pratensis subsp. bohemica, Inula hirta, Scabiosa canescens, Hieracium echioides, Dracocephalum austriacum, Orthantha lutea, Cirsium acaule, Centaurea triumfettii subsp. axillaris, Rosa elliptica, Berberis vulgaris, Thesium linophyllon, Arenaria leptoclados, Galium mollugo, Geranium sanguineum, Medicago minima, Stipa pennata, Teucrium botrys, Hieracium schmidtii, Bupleurum longifolium subsp. longifolium, Sorbus aria, Iris aphylla, Scabiosa columbaria, Erysimum crepidifolium, Scandix pecten-veneris, Hieracium cymosum, Sorbus collina, Bupleurum longifolium";"Aesculus hippocastanum, Impatiens parviflora, Robinia pseudacacia";"Crataegus sp., Ligustrum vulgare, Prunus spinosa";0,0298007126359722;45,2781828313672;0;0;0,869217425800142;1;0,869217425800142;100;0;0;100;2000-11-28;2017-04-22;2014-08-07;2014-10-21
"CZ0114001";"RadotÌnskÈ ˙dolÌ";"9180";5,01733313064349;5,44114778483834;8,52031528803304;6,46753695256991;8,52031528803304;8,15827961643311;0,627166641330436;10;0;9,34360831631999;0;10;10;3,92490262294205;2,36198028164365;"NA";"NA";"NA";0,028314341429708;4,58436704999332;0;0;0,852031528803304;1;0,852031528803304;100;0;0;100;2014-10-15;2016-05-10;2015-06-03;2014-10-21
