"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV_LIST","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","SUFFICIENT","EVAL","ID_ND_NALEZ","LAST_TARGET_MON","LAST_FIND"
"5848d","CZ0213063","Rakovník - za koupalištěm","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,52918788,2021-08-04,2021-08-04
"6350d","CZ0213777","Bohostice","Phengaris nausithous","6179",0,1,1,"nevhodná pastva (vysoká intenzita, termín apod.)",0,0,1,2,0,1,52918995,2021-07-27,2021-07-27
"5754d","CZ0214004","Černý Orel","Phengaris nausithous","6179",0,1,1,"sečení",0,0,1,2,0,1,49920188,2020-07-16,2018-07-04
"5854a","CZ0214004","Černý Orel","Phengaris nausithous","6179",0,1,1,"sečení",0,0,1,2,0,1,49920187,2020-07-16,NA
"6249d","CZ0214040","Louky u Drahlína","Phengaris nausithous","6179",1,1,1,"nevhodná pastva (vysoká intenzita, termín apod.)",0,0,1,3,0.5,1,52919461,2021-08-03,2021-08-03
"6848c","CZ0313096","Čábuze","Phengaris nausithous","6179",0,NA,NA,NA,NA,NA,0,0,0,0,33649544,NA,2012-07-26
"6848d","CZ0313114","Onšovice - Mlýny","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,43376388,NA,2017-07-14
"7155c","CZ0313141","Žofina Huť","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,35786643,NA,2015-07-21
"7150b","CZ0314123","Boletice","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,49851877,NA,2020-08-21
"7150d","CZ0314123","Boletice","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,45663061,NA,2016-07-17
"7151c","CZ0314123","Boletice","Phengaris nausithous","6179",1,1,1,"sečení,vývoj biocenózy, sukcese všeobecně",0,0,1,3,0.5,1,48053430,2019-07-24,2019-07-24
"7250b","CZ0314123","Boletice","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,50273346,NA,2020-08-01
"7051a","CZ0314124","Blanský les","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52587114,NA,2021-08-27
"7051b","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,48054223,2019-07-25,2019-07-25
"7051c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"žádné",1,0,1,4,0.5,1,52919428,2021-08-10,2021-08-10
"7051d","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"žádné",1,0,1,4,0.5,1,52919445,2021-08-02,2021-08-02
"7052c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"sečení",0,0,1,3,0.5,1,50258226,2020-07-27,2020-07-29
"7151a","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"žádné",1,NA,1,4,0.5,0,52919421,2021-07-28,2021-07-30
"7151b","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"žádné",1,NA,1,4,0.5,0,50258222,2020-07-27,2022-07-23
"7151c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,NA,1,"žádné",1,NA,1,3,0.5,0,52919450,2021-08-03,2021-08-03
"7151d","CZ0314124","Blanský les","Phengaris nausithous","6179",1,0,1,"žádné",1,1,1,4,0.5,1,52919325,2021-07-29,2021-07-29
"7152a","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"sečení",0,0,1,3,0.5,1,50258392,2020-07-30,2021-07-30
"7152c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,48053408,2019-07-23,2019-07-23
"6147b","CZ0323150","Kamenec","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52691980,NA,2021-07-26
"5644c","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,3,0.5,0,49920339,2020-08-12,2020-08-12
"5644d","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"vysychání (mokřadního ekosystému),hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,3,0.5,0,48053848,2019-08-04,2020-08-02
"5645c","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"vývoj biocenózy, sukcese všeobecně",0,NA,1,3,0.5,0,46498143,2018-08-04,2018-08-04
"5744a","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,3,0.5,0,48053852,2019-07-17,2019-07-17
"5744b","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně,invaze nějakého druhu (neofyty)",0,NA,1,3,0.5,0,48053911,2019-08-04,2019-07-19
"5744c","CZ0414127","Hradiště","Phengaris nausithous","6179",0,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,2,0,0,48054036,2019-07-23,2016-07-20
"5744d","CZ0414127","Hradiště","Phengaris nausithous","6179",0,1,1,"sečení",0,1,1,3,0,1,48054019,2019-08-11,2019-08-11
"5745c","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,3,0.5,0,48053950,2019-08-09,2019-08-09
"5844a","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"vývoj biocenózy, sukcese všeobecně,hromadění organického materiálu (stařiny),sečení",0,0,1,3,0.5,1,48053943,2019-08-05,2019-08-05
"5844b","CZ0414127","Hradiště","Phengaris nausithous","6179",0,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně,sečení",0,0,1,2,0,1,48054026,2019-07-23,NA
"5845a","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,"sečení",0,0,1,3,0.5,1,48054081,2019-08-11,2019-08-09
"5845b","CZ0414127","Hradiště","Phengaris nausithous","6179",0,1,1,"hromadění organického materiálu (stařiny),sečení,invaze nějakého druhu (neofyty),vývoj biocenózy, sukcese všeobecně",0,0,1,2,0,1,48053798,2019-07-18,NA
"5546a","CZ0424030","Bezručovo údolí","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,51306617,NA,2021-08-11
"5348b","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",0,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně",0,NA,1,2,0,0,48053758,2019-08-11,NA
"5349a","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,26275598,NA,2006-08-03
"5447a","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",0,1,1,"pastva",0,0,1,2,0,1,46498565,2018-07-21,NA
"5254c","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,1,1,"žádné",1,1,1,5,1,1,48054064,2019-08-16,2019-08-16
"5353a","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52924035,NA,2022-07-02
"5353b","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,1,1,"vysychání (mokřadního ekosystému)",0,0,1,3,0.5,1,52600038,2021-07-23,2021-07-23
"5354a","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,37100108,NA,2016-07-19
"5354c","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně,sečení",0,0,1,3,0.5,1,50258252,2020-08-07,2020-08-07
"5457c","CZ0514113","Podtrosecká údolí","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,52961392,NA,2022-07-23
"5352c","CZ0514670","Ronov - Vlhošť","Phengaris nausithous","6179",1,1,1,"vysychání (mokřadního ekosystému)",0,1,1,4,0.5,1,48053425,2019-07-24,2019-07-24
"5352d","CZ0514670","Ronov - Vlhošť","Phengaris nausithous","6179",1,1,1,"hnojení,sečení",0,0,1,3,0.5,1,46498351,2018-08-17,2018-08-17
"5563b","CZ0523014","Vladivostok","Phengaris nausithous","6179",1,NA,NA,NA,NA,NA,0,1,0.5,0,49926013,NA,2020-07-24
