"SITECODE","NAZEV","FEATURE_CODE","DRUH","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV","TARGET_MON","OVERALL","SUFFICIENT"
"CZ0113005","Lochkovský profil","6199","Euplagia quadripunctaria",NA,NA,NA,NA,NA,NA,NA
"CZ0114001","Radotínské údolí","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-11,1,0.5
"CZ0213023","Hrdlička - Žďánská hora","6199","Euplagia quadripunctaria",NA,NA,NA,NA,NA,NA,NA
"CZ0213043","Třeštibok","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-13,1,0.5
"CZ0213065","Na Babě","6199","Euplagia quadripunctaria",1,NA,NA,NA,2015-08-09,1,0.5
"CZ0213779","Břežanské údolí","6199","Euplagia quadripunctaria",1,NA,NA,NA,2014-08-18,1,0.5
"CZ0213802","V hladomoří","6199","Euplagia quadripunctaria",NA,NA,NA,NA,NA,NA,NA
"CZ0214017","Karlštejn - Koda","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-10,1,0.5
"CZ0214037","Kotýz","6199","Euplagia quadripunctaria",1,NA,NA,NA,2015-08-10,1,0.5
"CZ0314124","Blanský les","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-07,1,0.5
"CZ0324025","Kaňon Střely","6199","Euplagia quadripunctaria",1,NA,NA,NA,2015-08-09,1,0.5
"CZ0423201","Blšanský chlum","6199","Euplagia quadripunctaria",1,NA,NA,NA,2015-08-08,1,0.5
"CZ0423212","Hořenec - Číčov","6199","Euplagia quadripunctaria",NA,NA,NA,NA,NA,NA,NA
"CZ0423225","Radobýl","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-03,1,0.5
"CZ0423227","Sinutec - Dlouhý kopec","6199","Euplagia quadripunctaria",1,NA,NA,NA,2019-08-21,1,0.5
"CZ0423232","Vrch Hazmburk","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-12,1,0.5
"CZ0423236","Všechlapy - Kamýk","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-21,1,0.5
"CZ0424037","Lovoš","6199","Euplagia quadripunctaria",1,NA,NA,NA,2018-08-04,1,0.5
"CZ0424039","Oblík - Srdov - Brník","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-20,1,0.5
"CZ0424129","Bílé stráně u Litoměřic","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-15,1,0.5
"CZ0513506","Horní Ploučnice","6199","Euplagia quadripunctaria",1,NA,NA,NA,2019-08-01,1,0.5
"CZ0614131","Údolí Oslavy a Chvojnice","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-14,1,0.5
"CZ0614134","Údolí Jihlavy","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-10,1,0.5
"CZ0623035","Bílý kopec u Čejče","6199","Euplagia quadripunctaria",NA,NA,NA,NA,NA,NA,NA
"CZ0623354","Crhov - Rozsíčka","6199","Euplagia quadripunctaria",NA,NA,NA,NA,NA,NA,NA
"CZ0623355","Lovčický potok a Jordánek","6199","Euplagia quadripunctaria",1,NA,NA,NA,2015-08-13,1,0.5
"CZ0624043","Stolová hora","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-19,1,0.5
"CZ0624060","Pouzdřanská step - Kolby","6199","Euplagia quadripunctaria",1,NA,NA,NA,2018-07-26,1,0.5
"CZ0624070","Hodonínská doubrava","6199","Euplagia quadripunctaria",1,NA,NA,NA,2018-07-05,1,0.5
"CZ0624072","Čertoryje","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-19,1,0.5
"CZ0624096","Podyjí","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-21,1,0.5
"CZ0624100","Milovický les","6199","Euplagia quadripunctaria",1,NA,NA,NA,2016-07-25,1,0.5
"CZ0624101","Kuntínov","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-07-24,1,0.5
"CZ0624104","Děvín","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-07-30,1,0.5
"CZ0624114","Přední kout","6199","Euplagia quadripunctaria",1,NA,NA,NA,2016-08-20,1,0.5
"CZ0624130","Moravský kras","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-21,1,0.5
"CZ0624234","Svatý kopeček u Mikulova","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-27,1,0.5
"CZ0714076","Kosíř - Lomy","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-20,1,0.5
"CZ0714083","Malý Kosíř","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-21,1,0.5
"CZ0714772","Údolí Bystřice","6199","Euplagia quadripunctaria",1,NA,NA,NA,2015-08-25,1,0.5
"CZ0724090","Bílé Karpaty","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-04,1,0.5
"CZ0724430","Vlárský průsmyk","6199","Euplagia quadripunctaria",1,NA,NA,NA,2021-08-14,1,0.5
"CZ0813474","Údolí Moravice","6199","Euplagia quadripunctaria",1,NA,NA,NA,2020-08-16,1,0.5
