"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","CHYTRI_P7","OVERALL","SUFFICIENT"
"amp","","Cerne jezero","Lissotriton montandoni",1,1,1,1,1,1,1,1,1,1
"CZ0713397","CZ0713397","Černé jezero, k.ú. Zlaté Hory","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_1","Ptáčnice - u jezera","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_12","","Lissotriton montandoni",NA,NA,1,1,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_13","","Lissotriton montandoni",NA,NA,1,1,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_14","Vendryně","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_16","","Lissotriton montandoni",NA,NA,1,1,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_2","Muroňka","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_20","Pod Juráškou","Lissotriton montandoni",0,NA,1,1,1,1,1,1,0,0
"CZ0724089","CZ0724089_3","Obidová","Lissotriton montandoni",0,NA,1,1,1,1,1,1,0,0
"CZ0724089","CZ0724089_4","Kozubová","Lissotriton montandoni",0,NA,1,1,1,1,1,1,0,0
"CZ0724089","CZ0724089_6","Mořské oko","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_7","Dušná u červených","Lissotriton montandoni",1,NA,1,1,0,0,1,1,0.5,0
"CZ0724089","CZ0724089_8","Tůně Babská","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724089","CZ0724089_9","Slovačica","Lissotriton montandoni",1,0,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_1","Hostýnské vrchy_Deprese pod Jančemi","Lissotriton montandoni",1,NA,1,1,1,0,1,1,0.5,0
"CZ0724429","CZ0724429_10","Meandr v PP Bludný","Lissotriton montandoni",0,0,1,1,1,1,1,1,0,0
"CZ0724429","CZ0724429_11","Německý lom","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_12","Nádržka na sjezdovce Tesák","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_13","Příkop lesní cesty pod Goralicou","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_14","Příkop u odbočky k Jasanu","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_15","Koleje lesní cesty 1 nad PP Tesák","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_16","Koleje lesní cesty 2 nad PP Tesák","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_17","Koleje lesní cesty 3 nad PP Tesák","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_18","Koleje lesní cesty 4 nad PP Tesák","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_19","Příkop u Špulky","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_2","Hostýnské vrchy_Tůň u cesty na Janče","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_20","Tůň u chaloupky 1","Lissotriton montandoni",0,0,1,1,1,1,1,1,0,0
"CZ0724429","CZ0724429_21","Tůň u chaloupky 2","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_22","Tůňka v PP Loučka pod Bukovinou","Lissotriton montandoni",0,0,1,1,1,1,1,1,0,0
"CZ0724429","CZ0724429_23","Koleje lesní cesty 5 nad PP Tesák","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_3","Hostýnské vrchy_Nádrž Tesák","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_4","Hostýnské vrchy_Tůň pod Bludným","Lissotriton montandoni",0,0,1,1,1,1,1,1,0,0
"CZ0724429","CZ0724429_5","Hostýnské vrchy_Tůň pod Německým 1","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_6","Hostýnské vrchy_Tůň pod Německým 2","Lissotriton montandoni",0,0,1,1,1,1,1,1,0,0
"CZ0724429","CZ0724429_7","Rábova tůň","Lissotriton montandoni",0,0,1,1,1,1,1,1,0,0
"CZ0724429","CZ0724429_8","Tůň na Bystřičkách","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0724429","CZ0724429_9","Klauza v PR Čerňava","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0813445","CZ0813445","Heřmanovice","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0813450","CZ0813450_238","Karlova Studánka,požární nádrž","Lissotriton montandoni",1,NA,1,1,1,1,1,1,0.5,0
"CZ0813450","CZ0813450_239","Karlova Studánka, za GEO eXpozicí","Lissotriton montandoni",0,NA,1,1,1,1,1,1,0,0
