"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","LAST_TARGET_MON","LAST_FIND"
"5848d","CZ0213063","Rakovník - za koupalištěm","Phengaris nausithous","6179",1,1,1,0,1,1,4,2021-08-04,2021-08-04
"6350d","CZ0213777","Bohostice","Phengaris nausithous","6179",1,1,1,1,NA,1,4,2021-07-27,2021-07-27
"5754d","CZ0214004","Černý Orel","Phengaris nausithous","6179",1,0,1,0,0,1,2,2020-07-16,2018-07-04
"5854a","CZ0214004","Černý Orel","Phengaris nausithous","6179",0,0,1,0,0,1,1,2020-07-16,NA
"6249d","CZ0214040","Louky u Drahlína","Phengaris nausithous","6179",1,0,1,0,0,1,2,2021-08-03,2021-08-03
"6848c","CZ0313096","Čábuze","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2012-07-26
"6848d","CZ0313114","Onšovice - Mlýny","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2017-07-14
"7155c","CZ0313141","Žofina Huť","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2015-07-21
"7150b","CZ0314123","Boletice","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2020-08-21
"7150d","CZ0314123","Boletice","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2016-07-17
"7151c","CZ0314123","Boletice","Phengaris nausithous","6179",1,1,1,0,0,1,3,2019-07-24,2019-07-24
"7250b","CZ0314123","Boletice","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2020-08-01
"7051a","CZ0314124","Blanský les","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-08-27
"7051b","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,0,1,1,4,2019-07-25,2019-07-25
"7051c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,NA,1,1,NA,1,3,2021-08-10,2021-08-10
"7051d","CZ0314124","Blanský les","Phengaris nausithous","6179",1,NA,1,1,NA,1,3,2021-08-02,2021-08-02
"7052c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,0,0,1,3,2020-07-27,2020-07-29
"7151a","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,1,NA,1,4,2021-07-28,2021-07-30
"7151b","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,0,NA,1,3,2020-07-27,2022-07-23
"7151c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,NA,1,1,NA,1,3,2021-08-03,2021-08-03
"7151d","CZ0314124","Blanský les","Phengaris nausithous","6179",1,0,1,1,1,1,4,2021-07-29,2021-07-29
"7152a","CZ0314124","Blanský les","Phengaris nausithous","6179",1,0,1,0,1,1,3,2020-07-30,2021-07-30
"7152c","CZ0314124","Blanský les","Phengaris nausithous","6179",1,1,1,0,1,1,4,2019-07-23,2019-07-23
"6147b","CZ0323150","Kamenec","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-07-26
"5644c","CZ0414127","Hradiště","Phengaris nausithous","6179",1,0,1,0,NA,1,2,2020-08-12,2020-08-12
"5644d","CZ0414127","Hradiště","Phengaris nausithous","6179",1,0,1,0,NA,1,2,2019-08-04,2020-08-02
"5645c","CZ0414127","Hradiště","Phengaris nausithous","6179",1,0,1,0,NA,1,2,2018-08-04,2018-08-04
"5744a","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,0,NA,1,3,2019-07-17,2019-07-17
"5744b","CZ0414127","Hradiště","Phengaris nausithous","6179",1,0,1,0,NA,1,2,2019-08-04,2019-07-19
"5744c","CZ0414127","Hradiště","Phengaris nausithous","6179",0,0,1,0,NA,1,1,2019-07-23,2016-07-20
"5744d","CZ0414127","Hradiště","Phengaris nausithous","6179",0,1,1,0,1,1,3,2019-08-11,2019-08-11
"5745c","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,0,NA,1,3,2019-08-09,2019-08-09
"5844a","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,0,0,1,3,2019-08-05,2019-08-05
"5844b","CZ0414127","Hradiště","Phengaris nausithous","6179",0,0,1,0,NA,1,1,2019-07-23,NA
"5845a","CZ0414127","Hradiště","Phengaris nausithous","6179",1,1,1,0,0,1,3,2019-08-11,2019-08-09
"5845b","CZ0414127","Hradiště","Phengaris nausithous","6179",0,1,1,0,0,1,2,2019-07-18,NA
"5546a","CZ0424030","Bezručovo údolí","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2021-08-11
"5348b","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",0,0,1,0,NA,1,1,2019-08-11,NA
"5349a","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2006-08-03
"5447a","CZ0424127","Východní Krušnohoří","Phengaris nausithous","6179",0,1,1,0,0,1,2,2018-07-21,NA
"5254c","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,0,1,0,1,1,3,2019-08-16,2019-08-16
"5353a","CZ0513506","Horní Ploučnice","Phengaris nausithous","6179",1,NA,NA,NA,NA,0,1,NA,2022-07-02
