"POLE","SITECODE","NAZEV","DRUH","FEATURE_CODE","PRESENCE","ROSTLINY","LIKVIDACE","NEGATIV_LIST","NEGATIV","MANAGEMENT","TARGET_MON","OVERALL","SUFFICIENT","EVAL","ID_ND_NALEZ","LAST_TARGET_MON","LAST_FIND"
"6151c","CZ0214005","Andělské schody","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,50258134,2020-07-29,2020-07-29
"7254b","CZ0313004","Terčino údolí","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,50258219,2020-07-23,2020-07-23
"7154a","CZ0313123","Stropnice","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,50258207,2020-07-23,2021-07-16
"7154d","CZ0313123","Stropnice","Phengaris teleius","6177",0,1,1,"sečení",0,0,1,2,0,1,50258213,2020-07-21,2014-07-16
"7150d","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45663062,NA,2016-07-17
"7151a","CZ0314123","Boletice","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,48053421,2019-07-08,2019-07-08
"7151c","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,48734126,NA,2019-07-24
"7250a","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45519450,NA,2016-07-07
"7250b","CZ0314123","Boletice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51187782,NA,2021-07-08
"7051c","CZ0314124","Blanský les","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,43812422,NA,2011-07-09
"7051d","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"sečení",0,0,1,3,0.5,1,48053413,2019-07-23,2019-07-23
"7052c","CZ0314124","Blanský les","Phengaris teleius","6177",0,1,1,"žádné",1,NA,1,3,0,0,50258227,2020-07-27,NA
"7151a","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"žádné",1,NA,1,4,0.5,0,50258237,2020-07-15,2021-07-30
"7151b","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"sečení",0,NA,1,3,0.5,0,50258225,2020-07-27,2020-07-29
"7151c","CZ0314124","Blanský les","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,12251337,NA,2010-07-16
"7151d","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"žádné",1,NA,1,4,0.5,0,50258221,2020-07-30,2020-07-30
"7152a","CZ0314124","Blanský les","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45535544,NA,2017-06-30
"7152c","CZ0314124","Blanský les","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,48053409,2019-07-23,2019-07-23
"6147b","CZ0323150","Kamenec","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,44431684,NA,2018-07-12
"5546a","CZ0424030","Bezručovo údolí","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,48917558,NA,2011-01-01
"5353a","CZ0513506","Horní Ploučnice","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,46495270,NA,2018-08-05
"5353b","CZ0513506","Horní Ploučnice","Phengaris teleius","6177",1,1,1,"vývoj biocenózy, sukcese všeobecně,hromadění organického materiálu (stařiny)",0,NA,1,3,0.5,0,46498136,2018-07-17,2018-07-17
"5354c","CZ0513506","Horní Ploučnice","Phengaris teleius","6177",0,1,1,"hromadění organického materiálu (stařiny),vývoj biocenózy, sukcese všeobecně,sečení",0,0,1,2,0,1,50258253,2020-08-07,2018-07-19
"5352c","CZ0514670","Ronov - Vlhošť","Phengaris teleius","6177",1,1,1,"žádné",1,1,1,5,1,1,46498438,2018-07-20,2018-07-20
"5352d","CZ0514670","Ronov - Vlhošť","Phengaris teleius","6177",1,1,1,"hnojení,sečení",0,0,1,3,0.5,1,46498352,2018-08-17,2018-08-17
"5861a","CZ0523010","Na Plachtě","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,49928480,NA,2018-07-22
"5563b","CZ0523014","Vladivostok","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,50278911,NA,2020-08-22
"6261b","CZ0534055","Ratajské rybníky","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51176295,NA,2021-07-19
"5959a","CZ0537011","Louky u Přelouče","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51290654,NA,2021-07-29
"5959c","CZ0537011","Louky u Přelouče","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51290674,NA,2021-07-29
"6872a","CZ0723403","Uhliska","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,45736301,NA,2018-07-21
"6872c","CZ0723403","Uhliska","Phengaris teleius","6177",1,1,1,"sečení,vysychání (mokřadního ekosystému)",0,1,1,4,0.5,1,50258398,2020-07-24,2020-07-24
"7071d","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,34693216,NA,2010-07-29
"7072b","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51312075,NA,2021-08-19
"7072c","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,49932847,NA,2020-07-09
"7072d","CZ0724090","Bílé Karpaty","Phengaris teleius","6177",1,NA,NA,NA,NA,NA,0,1,0.5,0,51980128,NA,2021-08-14
