"EVL_SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","OVERALL","SUFFICIENT_SITES","TOTAL_SITES","SUFFICIENT_PERC"
"CZ0213008","Bezděkovský lom","Triturus cristatus",0,0,1,0,1,1,0,0,1,1,0,0,1,0
"CZ0213029","Kalspot","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0,4,0
"CZ0213038","Kyšice - Kobyla","Triturus cristatus",1,NA,1,1,1,1,1,0.75,1,1,0.5,0,4,0
"CZ0213082","Velký Raputovský rybník","Triturus cristatus",1,NA,1,1,1,1,1,0.5,1,1,0.5,0,2,0
"CZ0213086","Aglaia","Triturus cristatus",0.625,0,1,1,1,1,1,0.875,1,1,0.3125,0,8,0
"CZ0213790","Javůrek","Triturus cristatus",1,0,1,1,1,0,1,0,1,1,0.5,0,1,0
"CZ0213794","Kerské rybníčky","Triturus cristatus",1,NA,1,1,1,1,1,NA,1,1,0.5,0,1,0
"CZ0213822","V Hlinišťatech","Triturus cristatus",0,0,1,1,1,1,1,NA,1,1,0,0,1,0
"CZ0214006","Milovice - Mladá","Triturus cristatus",1,NA,1,1,1,1,1,NA,1,1,0.5,0,1,0
"CZ0214007","Káraný - Hrbáčkovy tůně","Triturus cristatus",0.1,0,1,1,1,1,1,0.375,1,1,0.05,0,10,0
"CZ0313097","Cepská pískovna a okolí","Triturus cristatus",0.333333333333333,0,1,1,1,1,1,0.666666666666667,1,1,0.166666666666667,0,3,0
"CZ0313098","Hliníř - Ponědrážka","Triturus cristatus",0.25,0,1,0.75,0.25,1,0.75,0.75,1,1,0.125,0,4,0
"CZ0313103","Lom Skalka u Sepekova","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0,1,0
"CZ0313119","Rašeliniště Radlice","Triturus cristatus",0.666666666666667,0,1,1,1,1,1,0.666666666666667,1,1,0.333333333333333,0,3,0
"CZ0313815","Malý Bukač","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0,1,0
"CZ0314639","Rybníky u Lovětína","Triturus cristatus",0.666666666666667,0,1,1,1,1,1,0.333333333333333,1,1,0.333333333333333,0,3,0
"CZ0323144","Bonětice","Triturus cristatus",0,NA,1,1,0,1,1,0,1,1,0,0,1,0
"CZ0323147","Darmyšl - pískovna","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0,1,0
"CZ0323149","Kakejcov","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0,1,0
"CZ0323160","Pocinovice","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0,1,0
"CZ0413174","Borecké rybníky","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0,1,0
"CZ0413184","Pískovna Erika","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0,1,0
