"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE_P1a","POP_P1b","REPRO_P2","HABLOS_P3","PRED_P4","WATER_P5","DRY_P6","VEG_P7","TRANSP_P8","CHYTRI_P9","OVERALL","SUFFICIENT"
"amp","","5861, Hradec Králové, Plachta - Nový mokřad","Triturus cristatus",1,1,1,1,1,1,1,NA,1,1,0.5,0
"CZ0213008","CZ0213008","Bezděkovský lom","Triturus cristatus",0,0,1,0,1,1,0,0,1,1,0,0
"CZ0213029","CZ0213029_1","Kalspot","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213029","CZ0213029_2","Kalspot","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213029","CZ0213029_3","Kalspot","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213029","CZ0213029_4","Kalspot","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213038","CZ0213038_1","Kyšice - Kobyla","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213038","CZ0213038_2","Kyšice - Kobyla","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213038","CZ0213038_3","Kyšice - Kobyla","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213038","CZ0213038_4","Kyšice - Kobyla","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0213082","CZ0213082_1","Velký Raputovský rybník1","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0213082","CZ0213082_2","Velký Raputovský rybník","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213086","CZ0213086_1","Aglaia1","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213086","CZ0213086_2","Aglaia2","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213086","CZ0213086_3","Aglaia3","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213086","CZ0213086_4","Aglaia4","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0213086","CZ0213086_5","Aglaia5","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0213086","CZ0213086_6","Aglaia6","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213086","CZ0213086_7","Aglaia7","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0213086","CZ0213086_8","Aglaia8","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0213790","CZ0213790","EVL Javůrek","Triturus cristatus",1,0,1,1,1,0,1,0,1,1,0.5,0
"CZ0213794","CZ0213794","Kerské rybníčky","Triturus cristatus",1,NA,1,1,1,1,1,NA,1,1,0.5,0
"CZ0213822","CZ0213822","V Hlinišťatech","Triturus cristatus",0,0,1,1,1,1,1,NA,1,1,0,0
"CZ0214006","CZ0214006_1","EVL Milovice - Mladá","Triturus cristatus",1,NA,1,1,1,1,1,NA,1,1,0.5,0
"CZ0214007","CZ0214007_1","Malá Arazimova tůň","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0214007","CZ0214007_10","Kozí chlup","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0214007","CZ0214007_2","Velká Arazimova tůň","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0214007","CZ0214007_3","Netušil, dvojice tůní","Triturus cristatus",0,0,1,1,1,1,1,NA,1,1,0,0
"CZ0214007","CZ0214007_4","Havránka, tůně","Triturus cristatus",0,0,1,1,1,1,1,NA,1,1,0,0
"CZ0214007","CZ0214007_5","Grado, východní část","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0214007","CZ0214007_6","Lipovka, tůň","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0214007","CZ0214007_7","Václavka","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0214007","CZ0214007_8","Homolka","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0214007","CZ0214007_9","Byšická tůň","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0313097","CZ0313097_1","Cepská pískovna a okolí","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0313097","CZ0313097_2","Cepská pískovna a okolí","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0313097","CZ0313097_3","Cepská pískovna a okolí","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0313098","CZ0313098_1","Hliníř - Ponědrážka","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0313098","CZ0313098_2","Hliníř - Ponědrážka","Triturus cristatus",0,0,1,1,0,1,1,0,1,1,0,0
"CZ0313098","CZ0313098_3","Hliníř - Ponědrážka","Triturus cristatus",0,0,1,1,0,1,1,1,1,1,0,0
"CZ0313098","CZ0313098_4","Hliníř - Ponědrážka","Triturus cristatus",0,0,1,0,0,1,0,1,1,1,0,0
"CZ0313103","CZ0313103","Lom Skalka u Sepekova","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0313119","CZ0313119_1","Rašeliniště Radlice","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0313119","CZ0313119_2","Rašeliniště Radlice","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0313119","CZ0313119_3","Rašeliniště Radlice","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0313815","CZ0313815","Malý Bukač","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0314639","CZ0314639_1","Rybníky u Lovětína","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0314639","CZ0314639_2","Rybníky u Lovětína","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0314639","CZ0314639_3","Rybníky u Lovětína","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0323144","CZ0323144","Boječnice u Darmyšle","Triturus cristatus",0,NA,1,1,0,1,1,0,1,1,0,0
"CZ0323147","CZ0323147","Darmyšl - pískovna","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0323149","CZ0323149","Kakejcov","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0323160","CZ0323160","Pocinovice","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0413174","CZ0413174","Borecké rybníky","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0413184","CZ0413184","Pískovna Erika","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0413190","CZ0413190_1","Starý rybník","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0413190","CZ0413190_2","rybníček 1","Triturus cristatus",0,0,1,1,0,1,1,0,1,1,0,0
"CZ0413190","CZ0413190_3","rybníček 2","Triturus cristatus",1,NA,1,1,0,1,1,0,1,1,0.5,0
"CZ0413190","CZ0413190_4","malé ryb.","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0413190","CZ0413190_5","Nové tůně","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0413190","CZ0413190_6","Dolní Štít","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0413190","CZ0413190_7","Horní Štít","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0413190","CZ0413190_8","Černý rybník","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0413190","CZ0413190_9","Ottův rybník","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0413193","CZ0413193","U sedmi rybníků","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0413265","CZ0413265_3","Matyáš","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0413265","CZ0413265_4","Matyáš","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0413265","CZ0413265_5","Matyáš","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0413265","CZ0413265_6","Matyáš","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0413265","CZ0413265_7","Matyáš","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0413285","CZ0413285_1","Matyáš","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0413285","CZ0413285_2","Matyáš","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_1","Hradiště_Rybník pod Pekelným vrchem","Triturus cristatus",0,0,1,1,1,1,1,0,1,1,0,0
"CZ0414127","CZ0414127_10","Litoltov II.","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_11","Velká Lesná","Triturus cristatus",0,0,1,1,1,1,1,1,1,1,0,0
"CZ0414127","CZ0414127_12","Vlkaň I.","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
"CZ0414127","CZ0414127_13","Pastviny (Brodce)","Triturus cristatus",1,NA,1,1,1,1,1,1,1,1,0.5,0
"CZ0414127","CZ0414127_14","Radnice","Triturus cristatus",1,NA,1,1,1,1,1,0,1,1,0.5,0
